country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.7336,6.8334,2026-07-28
Danmark,Dansk krona,DKK,1.469,1.4907,2026-07-28
Euro,Euro,EUR,10.9812,11.1432,2026-07-28
Hong Kong,Hongkong dollar,HKD,1.2256,1.2569,2026-07-28
Indien,Indisk rupie,INR,0.099,0.1042,2026-07-28
Japan,Japanskt yen,JPY,0.059,0.0599,2026-07-28
Kanada,Kanadensisk dollar,CAD,6.8439,6.9454,2026-07-28
Kina,Kinesisk yuan,CNY,1.4185,1.4574,2026-07-28
Mexiko,Mexikansk peso,MXN,0.5499,0.5641,2026-07-28
Norge,Norsk krona,NOK,0.9963,1.0112,2026-07-28
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5759,5.6592,2026-07-28
Polen,Polsk zloty,PLN,2.5389,2.577,2026-07-28
Schweiz,Schweizisk franc,CHF,11.7839,11.9585,2026-07-28
Singapore,Singaporiansk dollar,SGD,7.4733,7.5845,2026-07-28
Storbritannien,Brittiskt pund,GBP,12.8432,13.0336,2026-07-28
Sydafrika,Sydafrikansk rand,ZAR,0.5728,0.5876,2026-07-28
Thailand,Thailänsk bath,THB,0.2855,0.2932,2026-07-28
Tjeckien,Tjeckisk krona,CZK,0.454,0.4609,2026-07-28
Turkiet,Turkisk lira,TRY,0.2026,0.208,2026-07-28
Ungern,Ungersk forint,HUF,0.0303,0.0311,2026-07-28
USA,Amerikansk dollar,USD,9.6625,9.8053,2026-07-28
