country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.7447,6.8248,6.7447,6.8248,27/7
Danmark,DKK/SEK,DKK,SEK,1,1.46948,1.48548,1.46948,1.48548,27/7
Euro,EUR/SEK,EUR,SEK,1,10.975,11.115,10.975,11.115,27/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2228,1.249,1.2228,1.249,27/7
Indien,INR/SEK,INR,SEK,1,0.097953,0.104153,0.097953,0.104153,27/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000525,0.000558,0.000525,0.000558,27/7
Island,ISK/SEK,ISK,SEK,1,0.077066,0.077406,0.077066,0.077406,27/7
Japan,JPY/SEK,JPY,SEK,1,0.058797,0.059737,0.058797,0.059737,27/7
Kanada,CAD/SEK,CAD,SEK,1,6.8338,6.9198,6.8338,6.9198,27/7
Kina,CNY/SEK,CNY,SEK,1,1.4219,1.4419,1.4219,1.4419,27/7
Malaysia,MYR/SEK,MYR,SEK,1,2.356508,2.386508,2.356508,2.386508,27/7
Marocko,MAD/SEK,MAD,SEK,1,1.0186,1.0532,1.0186,1.0532,27/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5485,0.5626,0.5485,0.5626,27/7
Norge,NOK/SEK,NOK,SEK,1,1.00313,1.01613,1.00313,1.01613,27/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5776,5.6597,5.5776,5.6597,27/7
Polen,PLN/SEK,PLN,SEK,1,2.5394,2.5795,2.5394,2.5795,27/7
Ryssland,RUB/SEK,RUB,SEK,1,0.1215,0.12588,0.1215,0.12588,27/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.55,2.6143,2.55,2.6143,27/7
Schweiz,CHF/SEK,CHF,SEK,1,11.83175,11.94375,11.83175,11.94375,27/7
Singapore,SGD/SEK,SGD,SEK,1,7.4762,7.5477,7.4762,7.5477,27/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.852,12.9921,12.852,12.9921,27/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5699,0.5879,0.5699,0.5879,27/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006504,0.006677,0.006504,0.006677,27/7
Thailand,THB/SEK,THB,SEK,1,0.2858,0.2917,0.2858,0.2917,27/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.45389,0.46049,0.45389,0.46049,27/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1701,0.2389,0.1701,0.2389,27/7
Ungern,HUF/SEK,HUF,SEK,1,0.030295,0.031056,0.030295,0.031056,27/7
USA,USD/SEK,USD,SEK,1,9.6248,9.7599,9.6248,9.7599,27/7
