country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6259,6.7246,2026-06-08
Danmark,Dansk krona,DKK,1.4475,1.4692,2026-06-08
Euro,Euro,EUR,10.8196,10.9801,2026-06-08
Hong Kong,Hongkong dollar,HKD,1.1936,1.2242,2026-06-08
Indien,Indisk rupie,INR,0.0964,0.1015,2026-06-08
Japan,Japanskt yen,JPY,0.0587,0.0596,2026-06-08
Kanada,Kanadensisk dollar,CAD,6.7389,6.8392,2026-06-08
Kina,Kinesisk yuan,CNY,1.3773,1.4149,2026-06-08
Mexiko,Mexikansk peso,MXN,0.5351,0.549,2026-06-08
Norge,Norsk krona,NOK,0.9929,1.008,2026-06-08
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4548,5.5368,2026-06-08
Polen,Polsk zloty,PLN,2.5469,2.5862,2026-06-08
Schweiz,Schweizisk franc,CHF,11.7792,11.9544,2026-06-08
Singapore,Singaporiansk dollar,SGD,7.2886,7.3974,2026-06-08
Storbritannien,Brittiskt pund,GBP,12.5238,12.7103,2026-06-08
Sydafrika,Sydafrikansk rand,ZAR,0.5644,0.579,2026-06-08
Thailand,Thailänsk bath,THB,0.2843,0.292,2026-06-08
Tjeckien,Tjeckisk krona,CZK,0.4465,0.4532,2026-06-08
Turkiet,Turkisk lira,TRY,0.2025,0.208,2026-06-08
Ungern,Ungersk forint,HUF,0.0302,0.031,2026-06-08
USA,Amerikansk dollar,USD,9.4011,9.541,2026-06-08
