country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.7387,6.8188,6.7387,6.8188,28/7
Danmark,DKK/SEK,DKK,SEK,1,1.471345,1.487345,1.471345,1.487345,28/7
Euro,EUR/SEK,EUR,SEK,1,10.9884,11.1284,10.9884,11.1284,28/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2272,1.2535,1.2272,1.2535,28/7
Indien,INR/SEK,INR,SEK,1,0.098446,0.104647,0.098446,0.104647,28/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000525,0.000558,0.000525,0.000558,28/7
Island,ISK/SEK,ISK,SEK,1,0.077378,0.077718,0.077378,0.077718,28/7
Japan,JPY/SEK,JPY,SEK,1,0.058914,0.059854,0.058914,0.059854,28/7
Kanada,CAD/SEK,CAD,SEK,1,6.8487,6.9347,6.8487,6.9347,28/7
Kina,CNY/SEK,CNY,SEK,1,1.4271,1.4471,1.4271,1.4471,28/7
Malaysia,MYR/SEK,MYR,SEK,1,2.364367,2.394367,2.364367,2.394367,28/7
Marocko,MAD/SEK,MAD,SEK,1,1.0206,1.0553,1.0206,1.0553,28/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5495,0.5636,0.5495,0.5636,28/7
Norge,NOK/SEK,NOK,SEK,1,1.00014,1.01314,1.00014,1.01314,28/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5729,5.6549,5.5729,5.6549,28/7
Polen,PLN/SEK,PLN,SEK,1,2.5368,2.5769,2.5368,2.5769,28/7
Ryssland,RUB/SEK,RUB,SEK,1,0.121155,0.125535,0.121155,0.125535,28/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5589,2.6231,2.5589,2.6231,28/7
Schweiz,CHF/SEK,CHF,SEK,1,11.80905,11.92105,11.80905,11.92105,28/7
Singapore,SGD/SEK,SGD,SEK,1,7.4883,7.5597,7.4883,7.5597,28/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.8678,13.0079,12.8678,13.0079,28/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5706,0.5887,0.5706,0.5887,28/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006555,0.006727,0.006555,0.006727,28/7
Thailand,THB/SEK,THB,SEK,1,0.286,0.2919,0.286,0.2919,28/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.45397,0.46057,0.45397,0.46057,28/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1707,0.2396,0.1707,0.2396,28/7
Ungern,HUF/SEK,HUF,SEK,1,0.03031,0.031071,0.03031,0.031071,28/7
USA,USD/SEK,USD,SEK,1,9.6593,9.7944,9.6593,9.7944,28/7
