pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9932,10.9952,10.9942,926,EUR/SEK Spot,10.9942,10.9932,10.9952
USD/SEK,USD,SEK,1,9.5402,9.5427,9.5415,150,USD/SEK Spot,9.5415,9.5402,9.5427
GBP/SEK,GBP,SEK,1,12.8384,12.8484,12.8434,72825,GBP/SEK Spot,12.8434,12.8384,12.8484
JPY/SEK,JPY,SEK,1,6.076,6.086,6.081,117083,JPY/SEK Spot,6.081,6.076,6.086
CHF/SEK,CHF,SEK,1,11.7918,11.8018,11.7968,72829,CHF/SEK Spot,11.7968,11.7918,11.8018
NOK/SEK,NOK,SEK,1,0.999,1.0,0.9995,72828,NOK/SEK Spot,0.9995,0.999,1.0
DKK/SEK,DKK,SEK,1,1.4704,1.4714,1.4709,72826,DKK/SEK Spot,1.4709,1.4704,1.4714
CAD/SEK,CAD,SEK,1,6.7904,6.8004,6.7954,51623,CAD/SEK Spot,6.7954,6.7904,6.8004
AUD/SEK,AUD,SEK,1,6.6806,6.6816,6.6811,117438,AUD/SEK Spot,6.6811,6.6806,6.6816
NZD/SEK,NZD,SEK,1,5.5947,5.5957,5.5952,117521,NZD/SEK Spot,5.5952,5.5947,5.5957
