country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.626,6.7242,2026-06-02
Danmark,Dansk krona,DKK,1.4371,1.4584,2026-06-02
Euro,Euro,EUR,10.7411,10.8996,2026-06-02
Hong Kong,Hongkong dollar,HKD,1.1707,1.2006,2026-06-02
Indien,Indisk rupie,INR,0.095,0.1001,2026-06-02
Japan,Japanskt yen,JPY,0.0578,0.0586,2026-06-02
Kanada,Kanadensisk dollar,CAD,6.6591,6.7577,2026-06-02
Kina,Kinesisk yuan,CNY,1.3556,1.3926,2026-06-02
Mexiko,Mexikansk peso,MXN,0.5305,0.5442,2026-06-02
Norge,Norsk krona,NOK,0.9956,1.0105,2026-06-02
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4693,5.5508,2026-06-02
Polen,Polsk zloty,PLN,2.5359,2.5747,2026-06-02
Schweiz,Schweizisk franc,CHF,11.7428,11.9166,2026-06-02
Singapore,Singaporiansk dollar,SGD,7.2134,7.3205,2026-06-02
Storbritannien,Brittiskt pund,GBP,12.4223,12.6065,2026-06-02
Sydafrika,Sydafrikansk rand,ZAR,0.5664,0.5811,2026-06-02
Thailand,Thailänsk bath,THB,0.2814,0.289,2026-06-02
Tjeckien,Tjeckisk krona,CZK,0.4426,0.4492,2026-06-02
Turkiet,Turkisk lira,TRY,0.1995,0.2047,2026-06-02
Ungern,Ungersk forint,HUF,0.0301,0.0309,2026-06-02
USA,Amerikansk dollar,USD,9.2235,9.3599,2026-06-02
