country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.5904,6.6704,6.5904,6.6704,15/6
Danmark,DKK/SEK,DKK,SEK,1,1.447675,1.463675,1.447675,1.463675,15/6
Euro,EUR/SEK,EUR,SEK,1,10.8098,10.9498,10.8098,10.9498,15/6
Hongkong,HKD/SEK,HKD,SEK,1,1.1833,1.2096,1.1833,1.2096,15/6
Indien,INR/SEK,INR,SEK,1,0.096014,0.102214,0.096014,0.102214,15/6
Indonesien,IDR/SEK,IDR,SEK,1,0.000516,0.00055,0.000516,0.00055,15/6
Island,ISK/SEK,ISK,SEK,1,0.075286,0.075626,0.075286,0.075626,15/6
Japan,JPY/SEK,JPY,SEK,1,0.05808,0.05902,0.05808,0.05902,15/6
Kanada,CAD/SEK,CAD,SEK,1,6.6663,6.7523,6.6663,6.7523,15/6
Kina,CNY/SEK,CNY,SEK,1,1.3773,1.3973,1.3773,1.3973,15/6
Malaysia,MYR/SEK,MYR,SEK,1,2.299803,2.329803,2.299803,2.329803,15/6
Marocko,MAD/SEK,MAD,SEK,1,0.9955,1.0302,0.9955,1.0302,15/6
Mexiko,MXN/SEK,MXN,SEK,1,0.538,0.5521,0.538,0.5521,15/6
Norge,NOK/SEK,NOK,SEK,1,0.979865,0.992865,0.979865,0.992865,15/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4401,5.5222,5.4401,5.5222,15/6
Polen,PLN/SEK,PLN,SEK,1,2.5434,2.5834,2.5434,2.5834,15/6
Ryssland,RUB/SEK,RUB,SEK,1,0.12595,0.13033,0.12595,0.13033,15/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.4662,2.5305,2.4662,2.5305,15/6
Schweiz,CHF/SEK,CHF,SEK,1,11.765,11.877,11.765,11.877,15/6
Singapore,SGD/SEK,SGD,SEK,1,7.2796,7.351,7.2796,7.351,15/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.5207,12.6608,12.5207,12.6608,15/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5705,0.5886,0.5705,0.5886,15/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006104,0.006276,0.006104,0.006276,15/6
Thailand,THB/SEK,THB,SEK,1,0.2849,0.2907,0.2849,0.2907,15/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.44739,0.45399,0.44739,0.45399,15/6
Turkiet,TRY/SEK,TRY,SEK,1,0.168,0.2368,0.168,0.2368,15/6
Ungern,HUF/SEK,HUF,SEK,1,0.030641,0.031402,0.030641,0.031402,15/6
USA,USD/SEK,USD,SEK,1,9.3074,9.4425,9.3074,9.4425,15/6
