pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.7812,10.7834,10.7823,926,EUR/SEK Spot,10.7823,10.7812,10.7834
USD/SEK,USD,SEK,1,9.2615,9.2628,9.2622,150,USD/SEK Spot,9.2622,9.2615,9.2628
GBP/SEK,GBP,SEK,1,12.4346,12.4446,12.4396,72825,GBP/SEK Spot,12.4396,12.4346,12.4446
JPY/SEK,JPY,SEK,1,5.805,5.815,5.81,117083,JPY/SEK Spot,5.81,5.805,5.815
CHF/SEK,CHF,SEK,1,11.8282,11.8382,11.8332,72829,CHF/SEK Spot,11.8332,11.8282,11.8382
NOK/SEK,NOK,SEK,1,0.9989,0.9999,0.9994,72828,NOK/SEK Spot,0.9994,0.9989,0.9999
DKK/SEK,DKK,SEK,1,1.4421,1.4431,1.4426,72826,DKK/SEK Spot,1.4426,1.4421,1.4431
CAD/SEK,CAD,SEK,1,6.7004,6.7104,6.7054,51623,CAD/SEK Spot,6.7054,6.7004,6.7104
AUD/SEK,AUD,SEK,1,6.6459,6.6469,6.6464,117438,AUD/SEK Spot,6.6464,6.6459,6.6469
NZD/SEK,NZD,SEK,1,5.5387,5.5397,5.5392,117521,NZD/SEK Spot,5.5392,5.5387,5.5397
