country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6742,6.7542,6.6742,6.7542,5/8
Danmark,DKK/SEK,DKK,SEK,1,1.46296,1.47896,1.46296,1.47896,5/8
Euro,EUR/SEK,EUR,SEK,1,10.9255,11.0655,10.9255,11.0655,5/8
Hongkong,HKD/SEK,HKD,SEK,1,1.2017,1.2279,1.2017,1.2279,5/8
Indien,INR/SEK,INR,SEK,1,0.097042,0.103243,0.097042,0.103243,5/8
Indonesien,IDR/SEK,IDR,SEK,1,0.000518,0.000551,0.000518,0.000551,5/8
Island,ISK/SEK,ISK,SEK,1,0.077373,0.077713,0.077373,0.077713,5/8
Japan,JPY/SEK,JPY,SEK,1,0.059927,0.060867,0.059927,0.060867,5/8
Kanada,CAD/SEK,CAD,SEK,1,6.7639,6.85,6.7639,6.85,5/8
Kina,CNY/SEK,CNY,SEK,1,1.4018,1.4218,1.4018,1.4218,5/8
Malaysia,MYR/SEK,MYR,SEK,1,2.312122,2.342123,2.312122,2.342123,5/8
Marocko,MAD/SEK,MAD,SEK,1,1.0059,1.0405,1.0059,1.0405,5/8
Mexiko,MXN/SEK,MXN,SEK,1,0.5454,0.5595,0.5454,0.5595,5/8
Norge,NOK/SEK,NOK,SEK,1,0.99137,1.00437,0.99137,1.00437,5/8
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5501,5.6322,5.5501,5.6322,5/8
Polen,PLN/SEK,PLN,SEK,1,2.5365,2.5765,2.5365,2.5765,5/8
Ryssland,RUB/SEK,RUB,SEK,1,0.11572,0.1201,0.11572,0.1201,5/8
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5045,2.5688,2.5045,2.5688,5/8
Schweiz,CHF/SEK,CHF,SEK,1,11.71995,11.83195,11.71995,11.83195,5/8
Singapore,SGD/SEK,SGD,SEK,1,7.3964,7.4678,7.3964,7.4678,5/8
Storbritannien,GBP/SEK,GBP,SEK,1,12.7605,12.9006,12.7605,12.9006,5/8
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5722,0.5902,0.5722,0.5902,5/8
Sydkorea,KRW/SEK,KRW,SEK,1,0.006567,0.00674,0.006567,0.00674,5/8
Thailand,THB/SEK,THB,SEK,1,0.284,0.2898,0.284,0.2898,5/8
Tjeckien,CZK/SEK,CZK,SEK,1,0.45105,0.45765,0.45105,0.45765,5/8
Turkiet,TRY/SEK,TRY,SEK,1,0.1657,0.2346,0.1657,0.2346,5/8
Ungern,HUF/SEK,HUF,SEK,1,0.030046,0.030808,0.030046,0.030808,5/8
USA,USD/SEK,USD,SEK,1,9.4609,9.5959,9.4609,9.5959,5/8
