updated,country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,change,settlement_price,unit,buy_rate_per_unit,sell_rate_per_unit
01.07.2026 09:00,Norge,NOK/SEK,NOK,SEK,100,0.9722,0.9862000000000001,97.22,98.62,0.3,97.92,100.0,0.9722,0.9862000000000001
01.07.2026 09:00,USA,USD/SEK,USD,SEK,1,9.6699,9.7759,9.6699,9.7759,0.0142,9.7229,1.0,9.6699,9.7759
01.07.2026 09:00,Europeiska unionen,EUR/SEK,EUR,SEK,1,11.0238,11.1488,11.0238,11.1488,0.014,11.0863,1.0,11.0238,11.1488
01.07.2026 09:00,Danmark,DKK/SEK,DKK,SEK,100,1.4755,1.4905000000000002,147.55,149.05,0.15,148.3,100.0,1.4755,1.4905000000000002
01.07.2026 09:00,Storbritannien,GBP/SEK,GBP,SEK,1,12.8034,12.9494,12.8034,12.9494,0.0178,12.8764,1.0,12.8034,12.9494
01.07.2026 09:00,Schweiz,CHF/SEK,CHF,SEK,100,11.9554,12.0674,1195.54,1206.74,0.3,1201.14,100.0,11.9554,12.0674
01.07.2026 09:00,Japan,JPY/SEK,JPY,SEK,100,0.059282,0.060282,5.9282,6.0282,-0.0079,5.9782,100.0,0.059282,0.060282
01.07.2026 09:00,Arabemirater,AED/SEK,AED,SEK,1,2.6263,2.6703,2.6263,2.6703,0.0037,2.6483,1.0,2.6263,2.6703
01.07.2026 09:00,Australien,AUD/SEK,AUD,SEK,1,6.6597,6.7447,6.6597,6.7447,0.0224,6.7022,1.0,6.6597,6.7447
01.07.2026 09:00,Bahrain,BHD/SEK,BHD,SEK,1,25.6245,26.0245,25.6245,26.0245,0.0377,25.8245,1.0,25.6245,26.0245
01.07.2026 09:00,Botswana,BWP/SEK,BWP,SEK,1,0.705,0.735,0.705,0.735,-0.0353,0.72,1.0,0.705,0.735
01.07.2026 09:00,Filippinerna,PHP/SEK,PHP,SEK,100,0.15539999999999998,0.16079999999999997,15.54,16.08,-0.06,15.81,100.0,0.15539999999999998,0.16079999999999997
01.07.2026 09:00,Hong Kong,HKD/SEK,HKD,SEK,1,1.2278,1.2518,1.2278,1.2518,0.0019,1.2398,1.0,1.2278,1.2518
01.07.2026 09:00,Indien,INR/SEK,INR,SEK,1,0.1005,0.1049,0.1005,0.1049,0.0,0.1027,1.0,0.1005,0.1049
01.07.2026 09:00,Indonesien,IDR/SEK,IDR,SEK,100,0.00053,0.000554,0.053,0.0554,-0.0001,0.0542,100.0,0.00053,0.000554
01.07.2026 09:00,Island,ISK/SEK,ISK,SEK,100,0.07589,0.07849,7.589,7.849,0.0311,7.719,100.0,0.07589,0.07849
01.07.2026 09:00,Israel,ILS/SEK,ILS,SEK,1,3.2337,3.2937,3.2337,3.2937,0.0016,3.2637,1.0,3.2337,3.2937
01.07.2026 09:00,Kanada,CAD/SEK,CAD,SEK,1,6.7954,6.8854,6.7954,6.8854,0.0167,6.8404,1.0,6.7954,6.8854
01.07.2026 09:00,Kenya,KES/SEK,KES,SEK,100,0.07411,0.07711,7.411,7.711,0.0081,7.561,100.0,0.07411,0.07711
01.07.2026 09:00,Kina,CNH/SEK,CNH,SEK,100,1.4147999999999998,1.4447999999999999,141.48,144.48,0.03,142.98,100.0,1.4147999999999998,1.4447999999999999
01.07.2026 09:00,Kina,CNY/SEK,CNY,SEK,100,1.4166999999999998,1.4466999999999999,141.67,144.67,0.05,143.17,100.0,1.4166999999999998,1.4466999999999999
01.07.2026 09:00,Kuwait,KWD/SEK,KWD,SEK,1,31.4314,31.9314,31.4314,31.9314,0.0463,31.6814,1.0,31.4314,31.9314
01.07.2026 09:00,Marocko,MAD/SEK,MAD,SEK,100,1.0168000000000001,1.0608,101.68,106.08,0.12,103.88,100.0,1.0168000000000001,1.0608
01.07.2026 09:00,Mexiko,MXN/SEK,MXN,SEK,100,0.5483,0.5623,54.83,56.23,-0.09,55.53,100.0,0.5483,0.5623
01.07.2026 09:00,Nya Zeeland,NZD/SEK,NZD,SEK,1,5.477,5.559,5.477,5.559,0.0255,5.518,1.0,5.477,5.559
01.07.2026 09:00,Oman,OMR/SEK,OMR,SEK,1,25.09,25.49,25.09,25.49,0.04,25.29,1.0,25.09,25.49
01.07.2026 09:00,Pakistan,PKR/SEK,PKR,SEK,1,0.0342,0.0358,0.0342,0.0358,0.0,0.035,1.0,0.0342,0.0358
