pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.532,2.6016,2.6016,2.532,2026-06-12T10:50:42.894457Z,2026-06-12T10:50:42.894457Z
AUD/SEK,AUD,SEK,1,6.5778,6.7082,6.7082,6.5778,2026-06-12T10:50:42.869278Z,2026-06-12T10:50:42.869278Z
BDT/SEK,BDT,SEK,1,0.074233,0.079186,0.079186,0.074233,2026-06-12T10:50:42.872464Z,2026-06-12T10:50:42.872464Z
BHD/SEK,BHD,SEK,1,24.6582,25.3462,25.3462,24.6582,2026-06-12T10:50:42.893420Z,2026-06-12T10:50:42.893420Z
CAD/SEK,CAD,SEK,1,6.6777,6.8101,6.8101,6.6777,2026-06-12T10:50:42.902061Z,2026-06-12T10:50:42.902061Z
CHF/SEK,CHF,SEK,1,11.7314,11.9641,11.9641,11.7314,2026-06-12T10:50:42.871788Z,2026-06-12T10:50:42.871788Z
CNH/SEK,CNH,SEK,1,1.3752,1.413,1.413,1.3752,2026-06-12T10:50:42.912421Z,2026-06-12T10:50:42.912421Z
CNY/SEK,CNY,SEK,1,1.36606,1.42226,1.42226,1.36606,2026-06-12T10:50:42.894154Z,2026-06-12T10:50:42.894154Z
CZK/SEK,CZK,SEK,1,0.44698,0.45601,0.45601,0.44698,2026-06-12T10:50:42.870930Z,2026-06-12T10:50:42.870930Z
DKK/SEK,DKK,SEK,1,1.44598,1.47468,1.47468,1.44598,2026-06-12T10:50:42.891762Z,2026-06-12T10:50:42.891762Z
EGP/SEK,EGP,SEK,1,0.1758,0.187,0.187,0.1758,2026-06-12T10:50:42.871650Z,2026-06-12T10:50:42.871650Z
EUR/SEK,EUR,SEK,1,10.7978,11.0119,11.0119,10.7978,2026-06-12T10:10:34.545413Z,2026-06-12T10:10:34.545413Z
GBP/SEK,GBP,SEK,1,12.5248,12.773,12.773,12.5248,2026-06-12T10:50:42.893720Z,2026-06-12T10:50:42.893720Z
GIP/SEK,GIP,SEK,1,12.517288,12.779905,12.779905,12.517288,2026-06-12T10:50:42.892606Z,2026-06-12T10:50:42.892606Z
HKD/SEK,HKD,SEK,1,1.18697,1.21957,1.21957,1.18697,2026-06-12T10:50:42.873240Z,2026-06-12T10:50:42.873240Z
HUF/SEK,HUF,SEK,1,0.030639,0.031263,0.031263,0.030639,2026-06-12T10:50:42.908499Z,2026-06-12T10:50:42.908499Z
IDR/SEK,IDR,SEK,1,0.0005169,0.0005383,0.0005383,0.0005169,2026-06-12T10:50:42.911695Z,2026-06-12T10:50:42.911695Z
ILS/SEK,ILS,SEK,1,3.1888,3.2781,3.2781,3.1888,2026-06-12T10:50:42.872566Z,2026-06-12T10:50:42.872566Z
INR/SEK,INR,SEK,1,0.09713,0.10112,0.10112,0.09713,2026-06-12T10:50:42.892717Z,2026-06-12T10:50:42.892717Z
ISK/SEK,ISK,SEK,1,0.0743,0.0775,0.0775,0.0743,2026-06-12T10:50:42.873332Z,2026-06-12T10:50:42.873332Z
