country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6889,6.7689,6.6889,6.7689,19/6
Danmark,DKK/SEK,DKK,SEK,1,1.46247,1.47847,1.46247,1.47847,22/6
Euro,EUR/SEK,EUR,SEK,1,10.9143,11.0543,10.9143,11.0543,19/6
Hongkong,HKD/SEK,HKD,SEK,1,1.2104,1.2366,1.2104,1.2366,19/6
Indien,INR/SEK,INR,SEK,1,0.09841,0.104611,0.09841,0.104611,22/6
Indonesien,IDR/SEK,IDR,SEK,1,0.000526,0.000559,0.000526,0.000559,22/6
Island,ISK/SEK,ISK,SEK,1,0.076185,0.076525,0.076185,0.076525,22/6
Japan,JPY/SEK,JPY,SEK,1,0.058939,0.05988,0.058939,0.05988,22/6
Kanada,CAD/SEK,CAD,SEK,1,6.7395,6.8256,6.7395,6.8256,22/6
Kina,CNY/SEK,CNY,SEK,1,1.406,1.4261,1.406,1.4261,22/6
Malaysia,MYR/SEK,MYR,SEK,1,2.299972,2.329973,2.299972,2.329973,19/6
Marocko,MAD/SEK,MAD,SEK,1,1.0103,1.045,1.0103,1.045,19/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5458,0.5599,0.5458,0.5599,19/6
Norge,NOK/SEK,NOK,SEK,1,0.0,0.0,0.0,0.0,22/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4634,5.5454,5.4634,5.5454,19/6
Polen,PLN/SEK,PLN,SEK,1,2.5581,2.5982,2.5581,2.5982,19/6
Ryssland,RUB/SEK,RUB,SEK,1,0.128705,0.133085,0.128705,0.133085,22/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5229,2.5871,2.5229,2.5871,19/6
Schweiz,CHF/SEK,CHF,SEK,1,11.8205,11.9325,11.8205,11.9325,22/6
Singapore,SGD/SEK,SGD,SEK,1,7.3869,7.4584,7.3869,7.4584,19/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.5987,12.7388,12.5987,12.7388,19/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5733,0.5914,0.5733,0.5914,19/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.0,0.0,0.0,0.0,22/6
Thailand,THB/SEK,THB,SEK,1,0.2891,0.295,0.2891,0.295,19/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.45037,0.45697,0.45037,0.45697,22/6
Turkiet,TRY/SEK,TRY,SEK,1,0.1719,0.2408,0.1719,0.2408,19/6
Ungern,HUF/SEK,HUF,SEK,1,0.030882,0.031643,0.030882,0.031643,22/6
USA,USD/SEK,USD,SEK,1,9.5228,9.6579,9.5228,9.6579,19/6
