country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.5771,6.6745,2026-06-17
Danmark,Dansk krona,DKK,1.4455,1.467,2026-06-17
Euro,Euro,EUR,10.8054,10.9648,2026-06-17
Hong Kong,Hongkong dollar,HKD,1.1828,1.213,2026-06-17
Indien,Indisk rupie,INR,0.0967,0.1018,2026-06-17
Japan,Japanskt yen,JPY,0.0581,0.059,2026-06-17
Kanada,Kanadensisk dollar,CAD,6.6513,6.7499,2026-06-17
Kina,Kinesisk yuan,CNY,1.3702,1.4075,2026-06-17
Mexiko,Mexikansk peso,MXN,0.5383,0.5522,2026-06-17
Norge,Norsk krona,NOK,0.9823,0.997,2026-06-17
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4154,5.4961,2026-06-17
Polen,Polsk zloty,PLN,2.5478,2.587,2026-06-17
Schweiz,Schweizisk franc,CHF,11.7602,11.9344,2026-06-17
Singapore,Singaporiansk dollar,SGD,7.261,7.3686,2026-06-17
Storbritannien,Brittiskt pund,GBP,12.4957,12.6813,2026-06-17
Sydafrika,Sydafrikansk rand,ZAR,0.5713,0.586,2026-06-17
Thailand,Thailänsk bath,THB,0.2842,0.2919,2026-06-17
Tjeckien,Tjeckisk krona,CZK,0.4473,0.4541,2026-06-17
Turkiet,Turkisk lira,TRY,0.1994,0.2046,2026-06-17
Ungern,Ungersk forint,HUF,0.0308,0.0315,2026-06-17
USA,Amerikansk dollar,USD,9.3175,9.4552,2026-06-17
