country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.7334,6.8333,2026-07-21
Danmark,Dansk krona,DKK,1.4659,1.4876,2026-07-21
Euro,Euro,EUR,10.9585,11.1201,2026-07-21
Hong Kong,Hongkong dollar,HKD,1.2168,1.2479,2026-07-21
Indien,Indisk rupie,INR,0.0978,0.103,2026-07-21
Japan,Japanskt yen,JPY,0.059,0.0599,2026-07-21
Kanada,Kanadensisk dollar,CAD,6.8206,6.9217,2026-07-21
Kina,Kinesisk yuan,CNY,1.4087,1.4474,2026-07-21
Mexiko,Mexikansk peso,MXN,0.5485,0.5626,2026-07-21
Norge,Norsk krona,NOK,0.9949,1.0098,2026-07-21
Nya Zeeland,Nyzeeländsk dollar,NZD,5.6204,5.7046,2026-07-21
Polen,Polsk zloty,PLN,2.5314,2.5696,2026-07-21
Schweiz,Schweizisk franc,CHF,11.8456,12.0211,2026-07-21
Singapore,Singaporiansk dollar,SGD,7.4366,7.5469,2026-07-21
Storbritannien,Brittiskt pund,GBP,12.8929,13.0843,2026-07-21
Sydafrika,Sydafrikansk rand,ZAR,0.5807,0.5959,2026-07-21
Thailand,Thailänsk bath,THB,0.2836,0.2913,2026-07-21
Tjeckien,Tjeckisk krona,CZK,0.4531,0.4599,2026-07-21
Turkiet,Turkisk lira,TRY,0.2019,0.2073,2026-07-21
Ungern,Ungersk forint,HUF,0.0302,0.031,2026-07-21
USA,Amerikansk dollar,USD,9.5929,9.7348,2026-07-21
