updated,country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,change,settlement_price,unit,buy_rate_per_unit,sell_rate_per_unit
04.08.2026 09:00,Norge,NOK/SEK,NOK,SEK,100,0.9965,1.0105,99.65,101.05,0.28,100.35,100.0,0.9965,1.0105
04.08.2026 09:00,USA,USD/SEK,USD,SEK,1,9.5122,9.6182,9.5122,9.6182,0.0365,9.5652,1.0,9.5122,9.6182
04.08.2026 09:00,Europeiska unionen,EUR/SEK,EUR,SEK,1,10.9441,11.0691,10.9441,11.0691,0.0231,11.0066,1.0,10.9441,11.0691
04.08.2026 09:00,Danmark,DKK/SEK,DKK,SEK,100,1.4647,1.4797,146.47,147.97,0.31,147.22,100.0,1.4647,1.4797
04.08.2026 09:00,Storbritannien,GBP/SEK,GBP,SEK,1,12.772,12.918,12.772,12.918,0.0182,12.845,1.0,12.772,12.918
04.08.2026 09:00,Schweiz,CHF/SEK,CHF,SEK,100,11.7476,11.8596,1174.76,1185.96,2.98,1180.36,100.0,11.7476,11.8596
04.08.2026 09:00,Japan,JPY/SEK,JPY,SEK,100,0.060157999999999996,0.061158000000000004,6.0158,6.1158,-0.011,6.0658,100.0,0.060157999999999996,0.061158000000000004
04.08.2026 09:00,Arabemirater,AED/SEK,AED,SEK,1,2.5834,2.6274,2.5834,2.6274,0.0099,2.6054,1.0,2.5834,2.6274
04.08.2026 09:00,Australien,AUD/SEK,AUD,SEK,1,6.6687,6.7537,6.6687,6.7537,0.0142,6.7112,1.0,6.6687,6.7537
04.08.2026 09:00,Bahrain,BHD/SEK,BHD,SEK,1,25.2023,25.6023,25.2023,25.6023,0.097,25.4023,1.0,25.2023,25.6023
04.08.2026 09:00,Botswana,BWP/SEK,BWP,SEK,1,0.7239,0.7539,0.7239,0.7539,-0.0024,0.7389,1.0,0.7239,0.7539
04.08.2026 09:00,Filippinerna,PHP/SEK,PHP,SEK,100,0.15380000000000002,0.1592,15.38,15.92,-0.01,15.65,100.0,0.15380000000000002,0.1592
04.08.2026 09:00,Hong Kong,HKD/SEK,HKD,SEK,1,1.2076,1.2316,1.2076,1.2316,0.0046,1.2196,1.0,1.2076,1.2316
04.08.2026 09:00,Indien,INR/SEK,INR,SEK,1,0.0982,0.1026,0.0982,0.1026,0.0003,0.1004,1.0,0.0982,0.1026
04.08.2026 09:00,Indonesien,IDR/SEK,IDR,SEK,100,0.000519,0.000543,0.0519,0.0543,0.0001,0.0531,100.0,0.000519,0.000543
04.08.2026 09:00,Island,ISK/SEK,ISK,SEK,100,0.076528,0.079128,7.6528,7.9128,0.0164,7.7828,100.0,0.076528,0.079128
04.08.2026 09:00,Israel,ILS/SEK,ILS,SEK,1,3.1181,3.1781,3.1181,3.1781,0.0214,3.1481,1.0,3.1181,3.1781
04.08.2026 09:00,Kanada,CAD/SEK,CAD,SEK,1,6.7581,6.8481,6.7581,6.8481,0.016,6.8031,1.0,6.7581,6.8481
04.08.2026 09:00,Kenya,KES/SEK,KES,SEK,100,0.072884,0.07588400000000001,7.2884,7.5884,0.0255,7.4384,100.0,0.072884,0.07588400000000001
04.08.2026 09:00,Kina,CNH/SEK,CNH,SEK,100,1.4013,1.4313,140.13,143.13,0.54,141.63,100.0,1.4013,1.4313
04.08.2026 09:00,Kina,CNY/SEK,CNY,SEK,100,1.4024,1.4324000000000001,140.24,143.24,0.56,141.74,100.0,1.4024,1.4324000000000001
04.08.2026 09:00,Kuwait,KWD/SEK,KWD,SEK,1,30.9888,31.4888,30.9888,31.4888,0.17,31.2388,1.0,30.9888,31.4888
04.08.2026 09:00,Marocko,MAD/SEK,MAD,SEK,100,1.0056,1.0495999999999999,100.56,104.96,0.28,102.76,100.0,1.0056,1.0495999999999999
04.08.2026 09:00,Mexiko,MXN/SEK,MXN,SEK,100,0.5461,0.5600999999999999,54.61,56.01,0.26,55.31,100.0,0.5461,0.5600999999999999
04.08.2026 09:00,Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5697,5.6517,5.5697,5.6517,0.0108,5.6107,1.0,5.5697,5.6517
04.08.2026 09:00,Oman,OMR/SEK,OMR,SEK,1,24.68,25.08,24.68,25.08,0.1,24.88,1.0,24.68,25.08
04.08.2026 09:00,Pakistan,PKR/SEK,PKR,SEK,1,0.0337,0.0353,0.0337,0.0353,0.0001,0.0345,1.0,0.0337,0.0353
04.08.2026 09:00,Polen,PLN/SEK,PLN,SEK,100,2.5301,2.5751,253.01,257.51,-0.01,255.26,100.0,2.5301,2.5751
04.08.2026 09:00,Qatar,QAR/SEK,QAR,SEK,1,2.6042,2.6482,2.6042,2.6482,0.0104,2.6262,1.0,2.6042,2.6482
04.08.2026 09:00,Rum‰nien,RON/SEK,RON,SEK,100,2.076,2.128,207.6,212.8,0.45,210.2,100.0,2.076,2.128
04.08.2026 09:00,Saudiarabien,SAR/SEK,SAR,SEK,1,2.5272,2.5672,2.5272,2.5672,0.0093,2.5472,1.0,2.5272,2.5672
04.08.2026 09:00,Singapore,SGD/SEK,SGD,SEK,1,7.408,7.492,7.408,7.492,0.0187,7.45,1.0,7.408,7.492
04.08.2026 09:00,Sri Lanka,LKR/SEK,LKR,SEK,100,0.0278,0.0294,2.78,2.94,0.01,2.86,100.0,0.0278,0.0294
04.08.2026 09:00,Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5663,0.5923,0.5663,0.5923,0.0002,0.5793,1.0,0.5663,0.5923
04.08.2026 09:00,Sydkorea,KRW/SEK,KRW,SEK,100,0.006585,0.006785,0.6585,0.6785,0.0014,0.6685,100.0,0.006585,0.006785
04.08.2026 09:00,Tanzania,TZS/SEK,TZS,SEK,100,0.003575,0.003715,0.3575,0.3715,0.0014,0.3645,100.0,0.003575,0.003715
04.08.2026 09:00,Thailand,THB/SEK,THB,SEK,100,0.2832,0.2902,28.32,29.02,0.05,28.67,100.0,0.2832,0.2902
04.08.2026 09:00,Tjeckien,CZK/SEK,CZK,SEK,100,0.4515,0.4581,45.15,45.81,0.11,45.48,100.0,0.4515,0.4581
04.08.2026 09:00,Tunisien,TND/SEK,TND,SEK,1,3.2299,3.3299,3.2299,3.3299,0.0113,3.2799,1.0,3.2299,3.3299
04.08.2026 09:00,Turkiet,TRY/SEK,TRY,SEK,100,0.1962,0.20620000000000002,19.62,20.62,0.07,20.12,100.0,0.1962,0.20620000000000002
04.08.2026 09:00,Ungern,HUF/SEK,HUF,SEK,100,0.02995,0.03065,2.995,3.065,0.007,3.03,100.0,0.02995,0.03065
