pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6912,6.7796,AUD,Australiensiska dollar,6.6912,6.7796,6.7354,2026-07-17
BRL/SEK,BRL,SEK,1,1.84520,1.94610,BRL,Brasilianska real,1.84520,1.94610,1.89565,2026-07-17
CAD/SEK,CAD,SEK,1,6.84130,6.92920,CAD,Kanadensiska dollar,6.84130,6.92920,6.88525,2026-07-17
CHF/SEK,CHF,SEK,1,11.8952,12.0318,CHF,Schweiziska franc,11.8952,12.0318,11.9635,2026-07-17
CNY/SEK,CNY,SEK,1,1.41020,1.44090,CNY,Kinesiska yuan,1.41020,1.44090,1.42555,2026-07-17
CZK/SEK,CZK,SEK,1,0.451880,0.461190,CZK,Tjeckiska koruna,0.451880,0.461190,0.456535,2026-07-17
DKK/SEK,DKK,SEK,1,1.4702,1.4868,DKK,Danska kronor,1.4702,1.4868,1.4785,2026-07-17
EUR/SEK,EUR,SEK,1,10.9855,11.1191,EUR,Euro,10.9855,11.1191,11.0523,2026-07-17
GBP/SEK,GBP,SEK,1,12.9140,13.0598,GBP,Pound sterling,12.9140,13.0598,12.9869,2026-07-17
HKD/SEK,HKD,SEK,1,1.2198,1.2444,HKD,Hong Kong dollar,1.2198,1.2444,1.2321,2026-07-17
HUF/SEK,HUF,SEK,1,0.029910,0.030938,HUF,Ungerska forint,0.029910,0.030938,0.030424,2026-07-17
ILS/SEK,ILS,SEK,1,3.08980,3.24810,ILS,Israelska new shekel,3.08980,3.24810,3.16895,2026-07-17
INR/SEK,INR,SEK,1,0.09701,0.10367,INR,Indiska rupees,0.09701,0.10367,0.10034,2026-07-17
JPY/SEK,JPY,SEK,1,0.058984,0.060014,JPY,Japanska yen,0.058984,0.060014,0.059499,2026-07-17
NOK/SEK,NOK,SEK,1,0.99200,1.00670,NOK,Norska kronor,0.99200,1.00670,0.99935,2026-07-17
NZD/SEK,NZD,SEK,1,5.5898,5.6780,NZD,Nya Zeeländska dollar,5.5898,5.6780,5.6339,2026-07-17
PLN/SEK,PLN,SEK,1,2.5117,2.5735,PLN,Polska zloty,2.5117,2.5735,2.5426,2026-07-17
SGD/SEK,SGD,SEK,1,7.4432,7.5264,SGD,Singapore dollar,7.4432,7.5264,7.4848,2026-07-17
THB/SEK,THB,SEK,1,0.280800,0.294010,THB,Thailändska baht,0.280800,0.294010,0.287405,2026-07-17
TRY/SEK,TRY,SEK,1,0.186770,0.222880,TRY,Turkiska lira,0.186770,0.222880,0.204825,2026-07-17
USD/SEK,USD,SEK,1,9.5940,9.7274,USD,Amerikanska dollar,9.5940,9.7274,9.6607,2026-07-17
ZAR/SEK,ZAR,SEK,1,0.5756,0.5960,ZAR,Sydafrikanska rand,0.5756,0.5960,0.5858,2026-07-17
