pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0772,11.08,11.0786,926,EUR/SEK Spot,11.0786,11.0772,11.08
USD/SEK,USD,SEK,1,9.709,9.7116,9.7103,150,USD/SEK Spot,9.7103,9.709,9.7116
GBP/SEK,GBP,SEK,1,12.9791,12.9891,12.9841,72825,GBP/SEK Spot,12.9841,12.9791,12.9891
JPY/SEK,JPY,SEK,1,5.952,5.962,5.957,117083,JPY/SEK Spot,5.957,5.952,5.962
CHF/SEK,CHF,SEK,1,11.9492,11.9592,11.9542,72829,CHF/SEK Spot,11.9542,11.9492,11.9592
NOK/SEK,NOK,SEK,1,1.0101,1.0111,1.0106,72828,NOK/SEK Spot,1.0106,1.0101,1.0111
DKK/SEK,DKK,SEK,1,1.4816,1.4826,1.4821,72826,DKK/SEK Spot,1.4821,1.4816,1.4826
CAD/SEK,CAD,SEK,1,6.8836,6.8936,6.8886,51623,CAD/SEK Spot,6.8886,6.8836,6.8936
AUD/SEK,AUD,SEK,1,6.792,6.793,6.7925,117438,AUD/SEK Spot,6.7925,6.792,6.793
NZD/SEK,NZD,SEK,1,5.6477,5.6487,5.6482,117521,NZD/SEK Spot,5.6482,5.6477,5.6487
