pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0392,11.0418,11.0405,926,EUR/SEK Spot,11.0405,11.0392,11.0418
USD/SEK,USD,SEK,1,9.6592,9.6618,9.6605,150,USD/SEK Spot,9.6605,9.6592,9.6618
GBP/SEK,GBP,SEK,1,12.9179,12.9279,12.9229,72825,GBP/SEK Spot,12.9229,12.9179,12.9279
JPY/SEK,JPY,SEK,1,5.96,5.97,5.965,117083,JPY/SEK Spot,5.965,5.96,5.97
CHF/SEK,CHF,SEK,1,11.9616,11.9716,11.9666,72829,CHF/SEK Spot,11.9666,11.9616,11.9716
NOK/SEK,NOK,SEK,1,0.9851,0.9861,0.9856,72828,NOK/SEK Spot,0.9856,0.9851,0.9861
DKK/SEK,DKK,SEK,1,1.4763,1.4773,1.4768,72826,DKK/SEK Spot,1.4768,1.4763,1.4773
CAD/SEK,CAD,SEK,1,6.7904,6.8004,6.7954,51623,CAD/SEK Spot,6.7954,6.7904,6.8004
AUD/SEK,AUD,SEK,1,6.7074,6.7084,6.7079,117438,AUD/SEK Spot,6.7079,6.7074,6.7084
NZD/SEK,NZD,SEK,1,5.495,5.496,5.4955,117521,NZD/SEK Spot,5.4955,5.495,5.496
