pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.7358,6.8242,AUD,Australiensiska dollar,6.7358,6.8242,6.7800,11:59:59
BRL/SEK,BRL,SEK,1,1.8530,1.9538,BRL,Brasilianska real,1.8530,1.9538,1.9034,11:59:59
CAD/SEK,CAD,SEK,1,6.8206,6.9086,CAD,Kanadensiska dollar,6.8206,6.9086,6.8646,11:59:59
CHF/SEK,CHF,SEK,1,11.8133,11.9511,CHF,Schweiziska franc,11.8133,11.9511,11.8822,11:59:59
CNY/SEK,CNY,SEK,1,1.4157,1.4465,CNY,Kinesiska yuan,1.4157,1.4465,1.4311,11:59:59
CZK/SEK,CZK,SEK,1,0.452140,0.461450,CZK,Tjeckiska koruna,0.452140,0.461450,0.456795,11:59:59
DKK/SEK,DKK,SEK,1,1.4679,1.4845,DKK,Danska kronor,1.4679,1.4845,1.4762,11:59:59
EUR/SEK,EUR,SEK,1,10.9685,11.1021,EUR,Euro,10.9685,11.1021,11.0353,11:59:59
GBP/SEK,GBP,SEK,1,12.8357,12.9815,GBP,Pound sterling,12.8357,12.9815,12.9086,11:59:59
HKD/SEK,HKD,SEK,1,1.22260,1.24710,HKD,Hong Kong dollar,1.22260,1.24710,1.23485,11:59:59
HUF/SEK,HUF,SEK,1,0.0301840,0.0312130,HUF,Ungerska forint,0.0301840,0.0312130,0.0306985,11:59:59
ILS/SEK,ILS,SEK,1,3.1240,3.2824,ILS,Israelska new shekel,3.1240,3.2824,3.2032,11:59:59
INR/SEK,INR,SEK,1,0.097660,0.104310,INR,Indiska rupees,0.097660,0.104310,0.100985,11:59:59
JPY/SEK,JPY,SEK,1,0.0586970,0.0597240,JPY,Japanska yen,0.0586970,0.0597240,0.0592105,11:59:59
NOK/SEK,NOK,SEK,1,0.9954,1.0102,NOK,Norska kronor,0.9954,1.0102,1.0028,11:59:59
NZD/SEK,NZD,SEK,1,5.5691,5.6573,NZD,Nya Zeeländska dollar,5.5691,5.6573,5.6132,11:59:59
PLN/SEK,PLN,SEK,1,2.52580,2.58750,PLN,Polska zloty,2.52580,2.58750,2.55665,11:59:59
SGD/SEK,SGD,SEK,1,7.46460,7.54790,SGD,Singapore dollar,7.46460,7.54790,7.50625,11:59:59
THB/SEK,THB,SEK,1,0.281840,0.295030,THB,Thailändska baht,0.281840,0.295030,0.288435,11:59:59
TRY/SEK,TRY,SEK,1,0.186420,0.222530,TRY,Turkiska lira,0.186420,0.222530,0.204475,11:59:59
USD/SEK,USD,SEK,1,9.6164,9.7498,USD,Amerikanska dollar,9.6164,9.7498,9.6831,11:59:59
ZAR/SEK,ZAR,SEK,1,0.56953,0.58993,ZAR,Sydafrikanska rand,0.56953,0.58993,0.57973,11:59:59
