pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5584,2.6288,2.6288,2.5584,2026-07-31T09:19:56.504135Z,2026-07-31T09:19:56.504135Z
AUD/SEK,AUD,SEK,1,6.6411,6.7739,6.7739,6.6411,2026-07-31T09:19:56.501044Z,2026-07-31T09:19:56.501044Z
BDT/SEK,BDT,SEK,1,0.074615,0.079936,0.079936,0.074615,2026-07-31T09:19:46.378228Z,2026-07-31T09:19:46.378228Z
BHD/SEK,BHD,SEK,1,24.9203,25.6119,25.6119,24.9203,2026-07-31T09:19:46.382178Z,2026-07-31T09:19:46.382178Z
CAD/SEK,CAD,SEK,1,6.7343,6.8689,6.8689,6.7343,2026-07-31T09:19:46.386683Z,2026-07-31T09:19:46.386683Z
CHF/SEK,CHF,SEK,1,11.6853,11.9173,11.9173,11.6853,2026-07-31T09:19:46.378317Z,2026-07-31T09:19:46.378317Z
CNH/SEK,CNH,SEK,1,1.3926,1.4309,1.4309,1.3926,2026-07-31T09:19:56.507025Z,2026-07-31T09:19:56.507025Z
CNY/SEK,CNY,SEK,1,1.38279,1.44008,1.44008,1.38279,2026-07-31T09:19:56.503404Z,2026-07-31T09:19:56.503404Z
CZK/SEK,CZK,SEK,1,0.4487,0.45783,0.45783,0.4487,2026-07-31T09:19:56.501432Z,2026-07-31T09:19:56.501432Z
DKK/SEK,DKK,SEK,1,1.45343,1.48226,1.48226,1.45343,2026-07-31T09:19:56.505942Z,2026-07-31T09:19:56.505942Z
EGP/SEK,EGP,SEK,1,0.1805,0.192,0.192,0.1805,2026-07-31T09:19:46.379922Z,2026-07-31T09:19:46.379922Z
EUR/SEK,EUR,SEK,1,10.8687,11.0842,11.0842,10.8687,2026-07-31T10:05:22.842167Z,2026-07-31T10:05:22.842167Z
GBP/SEK,GBP,SEK,1,12.6957,12.9475,12.9475,12.6957,2026-07-31T09:19:46.386325Z,2026-07-31T09:19:46.386325Z
GIP/SEK,GIP,SEK,1,12.688682,12.955003,12.955003,12.688682,2026-07-31T09:19:46.633740Z,2026-07-31T09:19:46.633740Z
