pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8796,10.883,10.8813,926,EUR/SEK Spot,10.8813,10.8796,10.883
USD/SEK,USD,SEK,1,9.3677,9.3695,9.3686,150,USD/SEK Spot,9.3686,9.3677,9.3695
GBP/SEK,GBP,SEK,1,12.5892,12.5992,12.5942,72825,GBP/SEK Spot,12.5942,12.5892,12.5992
JPY/SEK,JPY,SEK,1,5.853,5.863,5.858,117083,JPY/SEK Spot,5.858,5.853,5.863
CHF/SEK,CHF,SEK,1,11.8643,11.8743,11.8693,72829,CHF/SEK Spot,11.8693,11.8643,11.8743
NOK/SEK,NOK,SEK,1,1.0077,1.0087,1.0082,72828,NOK/SEK Spot,1.0082,1.0077,1.0087
DKK/SEK,DKK,SEK,1,1.4552,1.4562,1.4557,72826,DKK/SEK Spot,1.4557,1.4552,1.4562
CAD/SEK,CAD,SEK,1,6.7541,6.7641,6.7591,51623,CAD/SEK Spot,6.7591,6.7541,6.7641
AUD/SEK,AUD,SEK,1,6.7084,6.7094,6.7089,117438,AUD/SEK Spot,6.7089,6.7084,6.7094
NZD/SEK,NZD,SEK,1,5.5232,5.5242,5.5237,117521,NZD/SEK Spot,5.5237,5.5232,5.5242
