pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0326,11.0376,11.0351,926,EUR/SEK Spot,11.0351,11.0326,11.0376
USD/SEK,USD,SEK,1,9.6425,9.6718,9.6571,150,USD/SEK Spot,9.6571,9.6425,9.6718
GBP/SEK,GBP,SEK,1,12.879,12.889,12.884,72825,GBP/SEK Spot,12.884,12.879,12.889
JPY/SEK,JPY,SEK,1,5.976,5.986,5.981,117083,JPY/SEK Spot,5.981,5.976,5.986
CHF/SEK,CHF,SEK,1,12.0081,12.0181,12.0131,72829,CHF/SEK Spot,12.0131,12.0081,12.0181
NOK/SEK,NOK,SEK,1,0.98,0.981,0.9805,72828,NOK/SEK Spot,0.9805,0.98,0.981
DKK/SEK,DKK,SEK,1,1.4762,1.4772,1.4767,72826,DKK/SEK Spot,1.4767,1.4762,1.4772
CAD/SEK,CAD,SEK,1,6.7908,6.8008,6.7958,51623,CAD/SEK Spot,6.7958,6.7908,6.8008
AUD/SEK,AUD,SEK,1,6.6975,6.6985,6.698,117438,AUD/SEK Spot,6.698,6.6975,6.6985
NZD/SEK,NZD,SEK,1,5.5102,5.5112,5.5107,117521,NZD/SEK Spot,5.5107,5.5102,5.5112
