country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6552,6.7352,6.6552,6.7352,2/7
Danmark,DKK/SEK,DKK,SEK,1,1.47374,1.48974,1.47374,1.48974,2/7
Euro,EUR/SEK,EUR,SEK,1,11.0058,11.1458,11.0058,11.1458,2/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2236,1.2498,1.2236,1.2498,2/7
Indien,INR/SEK,INR,SEK,1,0.098728,0.104928,0.098728,0.104928,2/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000526,0.000559,0.000526,0.000559,2/7
Island,ISK/SEK,ISK,SEK,1,0.076851,0.077191,0.076851,0.077191,2/7
Japan,JPY/SEK,JPY,SEK,1,0.059687,0.060628,0.059687,0.060628,2/7
Kanada,CAD/SEK,CAD,SEK,1,6.7926,6.8786,6.7926,6.8786,2/7
Kina,CNY/SEK,CNY,SEK,1,1.4192,1.4393,1.4192,1.4393,2/7
Malaysia,MYR/SEK,MYR,SEK,1,2.365832,2.395833,2.365832,2.395833,2/7
Marocko,MAD/SEK,MAD,SEK,1,1.0166,1.0513,1.0166,1.0513,2/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5459,0.56,0.5459,0.56,2/7
Norge,NOK/SEK,NOK,SEK,1,0.97475,0.98775,0.97475,0.98775,2/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4756,5.5577,5.4756,5.5577,2/7
Polen,PLN/SEK,PLN,SEK,1,2.5606,2.6007,2.5606,2.6007,2/7
Ryssland,RUB/SEK,RUB,SEK,1,0.12138,0.12576,0.12138,0.12576,2/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5514,2.6156,2.5514,2.6156,2/7
Schweiz,CHF/SEK,CHF,SEK,1,11.9932,12.1052,11.9932,12.1052,2/7
Singapore,SGD/SEK,SGD,SEK,1,7.4653,7.5367,7.4653,7.5367,2/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.8826,13.0226,12.8826,13.0226,2/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5835,0.6016,0.5835,0.6016,2/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006166,0.006339,0.006166,0.006339,2/7
Thailand,THB/SEK,THB,SEK,1,0.2887,0.2946,0.2887,0.2946,2/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.45421,0.46081,0.45421,0.46081,2/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1729,0.2417,0.1729,0.2417,2/7
Ungern,HUF/SEK,HUF,SEK,1,0.030792,0.031554,0.030792,0.031554,2/7
USA,USD/SEK,USD,SEK,1,9.6332,9.7682,9.6332,9.7682,2/7
