pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6742,6.7628,AUD,Australiensiska dollar,6.6742,6.7628,6.7185,11:59:59
BRL/SEK,BRL,SEK,1,1.82610,1.92720,BRL,Brasilianska real,1.82610,1.92720,1.87665,11:59:59
CAD/SEK,CAD,SEK,1,6.7966,6.8848,CAD,Kanadensiska dollar,6.7966,6.8848,6.8407,11:59:59
CHF/SEK,CHF,SEK,1,11.9291,12.0683,CHF,Schweiziska franc,11.9291,12.0683,11.9987,11:59:59
CNY/SEK,CNY,SEK,1,1.4169,1.4477,CNY,Kinesiska yuan,1.4169,1.4477,1.4323,11:59:59
CZK/SEK,CZK,SEK,1,0.451920,0.461230,CZK,Tjeckiska koruna,0.451920,0.461230,0.456575,11:59:59
DKK/SEK,DKK,SEK,1,1.4718,1.4884,DKK,Danska kronor,1.4718,1.4884,1.4801,11:59:59
EUR/SEK,EUR,SEK,1,10.9961,11.1297,EUR,Euro,10.9961,11.1297,11.0629,11:59:59
GBP/SEK,GBP,SEK,1,12.76550,12.91160,GBP,Pound sterling,12.76550,12.91160,12.83855,11:59:59
HKD/SEK,HKD,SEK,1,1.2296,1.2542,HKD,Hong Kong dollar,1.2296,1.2542,1.2419,11:59:59
HUF/SEK,HUF,SEK,1,0.0306790,0.0317080,HUF,Ungerska forint,0.0306790,0.0317080,0.0311935,11:59:59
ILS/SEK,ILS,SEK,1,3.19550,3.35400,ILS,Israelska new shekel,3.19550,3.35400,3.27475,11:59:59
INR/SEK,INR,SEK,1,0.099840,0.106490,INR,Indiska rupees,0.099840,0.106490,0.103165,11:59:59
JPY/SEK,JPY,SEK,1,0.0596570,0.0606900,JPY,Japanska yen,0.0596570,0.0606900,0.0601735,11:59:59
NOK/SEK,NOK,SEK,1,0.97950,0.99420,NOK,Norska kronor,0.97950,0.99420,0.98685,11:59:59
NZD/SEK,NZD,SEK,1,5.4543,5.5433,NZD,Nya Zeeländska dollar,5.4543,5.5433,5.4988,11:59:59
PLN/SEK,PLN,SEK,1,2.54890,2.61060,PLN,Polska zloty,2.54890,2.61060,2.57975,11:59:59
SGD/SEK,SGD,SEK,1,7.4677,7.5509,SGD,Singapore dollar,7.4677,7.5509,7.5093,11:59:59
THB/SEK,THB,SEK,1,0.285290,0.298500,THB,Thailändska baht,0.285290,0.298500,0.291895,11:59:59
TRY/SEK,TRY,SEK,1,0.191270,0.227380,TRY,Turkiska lira,0.191270,0.227380,0.209325,11:59:59
USD/SEK,USD,SEK,1,9.6703,9.8037,USD,Amerikanska dollar,9.6703,9.8037,9.7370,11:59:59
ZAR/SEK,ZAR,SEK,1,0.57813,0.59863,ZAR,Sydafrikanska rand,0.57813,0.59863,0.58838,11:59:59
