country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6982,6.7976,2026-07-15
Danmark,Dansk krona,DKK,1.4662,1.4879,2026-07-15
Euro,Euro,EUR,10.9598,11.1216,2026-07-15
Hong Kong,Hongkong dollar,HKD,1.2171,1.2482,2026-07-15
Indien,Indisk rupie,INR,0.0978,0.103,2026-07-15
Japan,Japanskt yen,JPY,0.0591,0.06,2026-07-15
Kanada,Kanadensisk dollar,CAD,6.8215,6.9226,2026-07-15
Kina,Kinesisk yuan,CNY,1.408,1.4467,2026-07-15
Mexiko,Mexikansk peso,MXN,0.5479,0.562,2026-07-15
Norge,Norsk krona,NOK,0.9875,1.0023,2026-07-15
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5764,5.6598,2026-07-15
Polen,Polsk zloty,PLN,2.5333,2.5716,2026-07-15
Schweiz,Schweizisk franc,CHF,11.8498,12.0255,2026-07-15
Singapore,Singaporiansk dollar,SGD,7.4302,7.5407,2026-07-15
Storbritannien,Brittiskt pund,GBP,12.8637,13.0547,2026-07-15
Sydafrika,Sydafrikansk rand,ZAR,0.5826,0.5978,2026-07-15
Thailand,Thailänsk bath,THB,0.2842,0.2919,2026-07-15
Tjeckien,Tjeckisk krona,CZK,0.4523,0.4591,2026-07-15
Turkiet,Turkisk lira,TRY,0.2026,0.208,2026-07-15
Ungern,Ungersk forint,HUF,0.0304,0.0312,2026-07-15
USA,Amerikansk dollar,USD,9.5899,9.7315,2026-07-15
