pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0464,11.0514,11.0489,926,EUR/SEK Spot,11.0489,11.0464,11.0514
USD/SEK,USD,SEK,1,9.7117,9.7277,9.7197,150,USD/SEK Spot,9.7197,9.7117,9.7277
GBP/SEK,GBP,SEK,1,12.94,12.95,12.945,72825,GBP/SEK Spot,12.945,12.94,12.95
JPY/SEK,JPY,SEK,1,5.925,5.935,5.93,117083,JPY/SEK Spot,5.93,5.925,5.935
CHF/SEK,CHF,SEK,1,11.8707,11.8807,11.8757,72829,CHF/SEK Spot,11.8757,11.8707,11.8807
NOK/SEK,NOK,SEK,1,1.0137,1.0147,1.0142,72828,NOK/SEK Spot,1.0142,1.0137,1.0147
DKK/SEK,DKK,SEK,1,1.4773,1.4783,1.4778,72826,DKK/SEK Spot,1.4778,1.4773,1.4783
CAD/SEK,CAD,SEK,1,6.8888,6.8988,6.8938,51623,CAD/SEK Spot,6.8938,6.8888,6.8988
AUD/SEK,AUD,SEK,1,6.7832,6.7842,6.7837,117438,AUD/SEK Spot,6.7837,6.7832,6.7842
NZD/SEK,NZD,SEK,1,5.6257,5.6267,5.6262,117521,NZD/SEK Spot,5.6262,5.6257,5.6267
