country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6325,6.793,2026-07-10
Danmark,Dansk krona,DKK,1.4604,1.49,2026-07-10
Euro,Euro,EUR,10.9172,11.1377,2026-07-10
Hong Kong,Hongkong dollar,HKD,1.2117,1.2519,2026-07-10
Indien,Indisk rupie,INR,0.0982,0.1045,2026-07-10
Japan,Japanskt yen,JPY,0.059,0.0604,2026-07-10
Kanada,Kanadensisk dollar,CAD,6.7441,6.8992,2026-07-10
Kina,Kinesisk yuan,CNY,1.4022,1.4497,2026-07-10
Mexiko,Mexikansk peso,MXN,0.5439,0.5619,2026-07-10
Norge,Norsk krona,NOK,0.9753,1.0003,2026-07-10
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4977,5.6274,2026-07-10
Polen,Polsk zloty,PLN,2.5089,2.6104,2026-07-10
Schweiz,Schweizisk franc,CHF,11.7986,12.0879,2026-07-10
Singapore,Singaporiansk dollar,SGD,7.391,7.567,2026-07-10
Storbritannien,Brittiskt pund,GBP,12.7707,13.0962,2026-07-10
Sydafrika,Sydafrikansk rand,ZAR,0.5771,0.6038,2026-07-10
Thailand,Thailänsk bath,THB,0.2851,0.2956,2026-07-10
Tjeckien,Tjeckisk krona,CZK,0.449,0.4599,2026-07-10
Turkiet,Turkisk lira,TRY,0.2012,0.2099,2026-07-10
Ungern,Ungersk forint,HUF,0.0304,0.0316,2026-07-10
USA,Amerikansk dollar,USD,9.5343,9.7849,2026-07-10
