country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6566,6.7552,2026-06-29
Danmark,Dansk krona,DKK,1.4723,1.4942,2026-06-29
Euro,Euro,EUR,11.0052,11.1676,2026-06-29
Hong Kong,Hongkong dollar,HKD,1.2235,1.2547,2026-06-29
Indien,Indisk rupie,INR,0.1002,0.1054,2026-06-29
Japan,Japanskt yen,JPY,0.0596,0.0605,2026-06-29
Kanada,Kanadensisk dollar,CAD,6.7909,6.8916,2026-06-29
Kina,Kinesisk yuan,CNY,1.4109,1.4496,2026-06-29
Mexiko,Mexikansk peso,MXN,0.5492,0.5634,2026-06-29
Norge,Norsk krona,NOK,0.9715,0.9861,2026-06-29
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4549,5.5362,2026-06-29
Polen,Polsk zloty,PLN,2.5664,2.605,2026-06-29
Schweiz,Schweizisk franc,CHF,11.9357,12.1122,2026-06-29
Singapore,Singaporiansk dollar,SGD,7.459,7.5697,2026-06-29
Storbritannien,Brittiskt pund,GBP,12.7642,12.9534,2026-06-29
Sydafrika,Sydafrikansk rand,ZAR,0.5844,0.5995,2026-06-29
Thailand,Thailänsk bath,THB,0.2885,0.2963,2026-06-29
Tjeckien,Tjeckisk krona,CZK,0.4536,0.4605,2026-06-29
Turkiet,Turkisk lira,TRY,0.2055,0.2109,2026-06-29
Ungern,Ungersk forint,HUF,0.0309,0.0317,2026-06-29
USA,Amerikansk dollar,USD,9.6469,9.7896,2026-06-29
