pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0138,11.0159,11.0148,926,EUR/SEK Spot,11.0148,11.0138,11.0159
USD/SEK,USD,SEK,1,9.6464,9.6481,9.6472,150,USD/SEK Spot,9.6472,9.6464,9.6481
GBP/SEK,GBP,SEK,1,12.8729,12.8829,12.8779,72825,GBP/SEK Spot,12.8779,12.8729,12.8829
JPY/SEK,JPY,SEK,1,5.937,5.947,5.942,117083,JPY/SEK Spot,5.942,5.937,5.947
CHF/SEK,CHF,SEK,1,11.9663,11.9763,11.9713,72829,CHF/SEK Spot,11.9713,11.9663,11.9763
NOK/SEK,NOK,SEK,1,0.9799,0.9809,0.9804,72828,NOK/SEK Spot,0.9804,0.9799,0.9809
DKK/SEK,DKK,SEK,1,1.4731,1.4741,1.4736,72826,DKK/SEK Spot,1.4736,1.4731,1.4741
CAD/SEK,CAD,SEK,1,6.7789,6.7889,6.7839,51623,CAD/SEK Spot,6.7839,6.7789,6.7889
AUD/SEK,AUD,SEK,1,6.6893,6.6903,6.6898,117438,AUD/SEK Spot,6.6898,6.6893,6.6903
NZD/SEK,NZD,SEK,1,5.484,5.485,5.4845,117521,NZD/SEK Spot,5.4845,5.484,5.485
