pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8978,10.8989,10.8984,926,EUR/SEK Spot,10.8984,10.8978,10.8989
USD/SEK,USD,SEK,1,9.3973,9.4012,9.3993,150,USD/SEK Spot,9.3993,9.3973,9.4012
GBP/SEK,GBP,SEK,1,12.5973,12.6073,12.6023,72825,GBP/SEK Spot,12.6023,12.5973,12.6073
JPY/SEK,JPY,SEK,1,5.856,5.866,5.861,117083,JPY/SEK Spot,5.861,5.856,5.866
CHF/SEK,CHF,SEK,1,11.8097,11.8197,11.8147,72829,CHF/SEK Spot,11.8147,11.8097,11.8197
NOK/SEK,NOK,SEK,1,0.9861,0.9871,0.9866,72828,NOK/SEK Spot,0.9866,0.9861,0.9871
DKK/SEK,DKK,SEK,1,1.4574,1.4584,1.4579,72826,DKK/SEK Spot,1.4579,1.4574,1.4584
CAD/SEK,CAD,SEK,1,6.7016,6.7116,6.7066,51623,CAD/SEK Spot,6.7066,6.7016,6.7116
AUD/SEK,AUD,SEK,1,6.6396,6.6406,6.6401,117438,AUD/SEK Spot,6.6401,6.6396,6.6406
NZD/SEK,NZD,SEK,1,5.4741,5.4751,5.4746,117521,NZD/SEK Spot,5.4746,5.4741,5.4751
