country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6429,6.7415,2026-06-26
Danmark,Dansk krona,DKK,1.4689,1.4906,2026-06-26
Euro,Euro,EUR,10.98,11.142,2026-06-26
Hong Kong,Hongkong dollar,HKD,1.2208,1.252,2026-06-26
Indien,Indisk rupie,INR,0.1001,0.1054,2026-06-26
Japan,Japanskt yen,JPY,0.0596,0.0604,2026-06-26
Kanada,Kanadensisk dollar,CAD,6.7852,6.8859,2026-06-26
Kina,Kinesisk yuan,CNY,1.4069,1.4454,2026-06-26
Mexiko,Mexikansk peso,MXN,0.5463,0.5603,2026-06-26
Norge,Norsk krona,NOK,0.9725,0.9871,2026-06-26
Nya Zeeland,Nyzeeländsk dollar,NZD,5.441,5.5222,2026-06-26
Polen,Polsk zloty,PLN,2.5625,2.601,2026-06-26
Schweiz,Schweizisk franc,CHF,11.9099,12.0862,2026-06-26
Singapore,Singaporiansk dollar,SGD,7.4404,7.5506,2026-06-26
Storbritannien,Brittiskt pund,GBP,12.7239,12.9127,2026-06-26
Sydafrika,Sydafrikansk rand,ZAR,0.5823,0.5974,2026-06-26
Thailand,Thailänsk bath,THB,0.2868,0.2946,2026-06-26
Tjeckien,Tjeckisk krona,CZK,0.4526,0.4595,2026-06-26
Turkiet,Turkisk lira,TRY,0.2051,0.2105,2026-06-26
Ungern,Ungersk forint,HUF,0.0309,0.0317,2026-06-26
USA,Amerikansk dollar,USD,9.6252,9.7676,2026-06-26
