country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6686,6.8055,2026-07-17
Danmark,Dansk krona,DKK,1.462,1.4902,2026-07-17
Euro,Euro,EUR,10.9315,11.1421,2026-07-17
Hong Kong,Hongkong dollar,HKD,1.2122,1.2495,2026-07-17
Indien,Indisk rupie,INR,0.0974,0.1031,2026-07-17
Japan,Japanskt yen,JPY,0.0588,0.06,2026-07-17
Kanada,Kanadensisk dollar,CAD,6.8124,6.951,2026-07-17
Kina,Kinesisk yuan,CNY,1.4014,1.4471,2026-07-17
Mexiko,Mexikansk peso,MXN,0.5414,0.5593,2026-07-17
Norge,Norsk krona,NOK,0.9886,1.0123,2026-07-17
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5796,5.6993,2026-07-17
Polen,Polsk zloty,PLN,2.5137,2.5709,2026-07-17
Schweiz,Schweizisk franc,CHF,11.8254,12.0671,2026-07-17
Singapore,Singaporiansk dollar,SGD,7.3931,7.5454,2026-07-17
Storbritannien,Brittiskt pund,GBP,12.8461,13.1143,2026-07-17
Sydafrika,Sydafrikansk rand,ZAR,0.5729,0.5978,2026-07-17
Thailand,Thailänsk bath,THB,0.2823,0.2919,2026-07-17
Tjeckien,Tjeckisk krona,CZK,0.4508,0.4606,2026-07-17
Turkiet,Turkisk lira,TRY,0.2011,0.2079,2026-07-17
Ungern,Ungersk forint,HUF,0.0298,0.031,2026-07-17
USA,Amerikansk dollar,USD,9.5549,9.7437,2026-07-17
