pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5631,2.6335,2.6335,2.5631,2026-08-03T10:10:34.866863Z,2026-08-03T10:10:34.866863Z
AUD/SEK,AUD,SEK,1,6.6181,6.7492,6.7492,6.6181,2026-08-03T10:10:34.862240Z,2026-08-03T10:10:34.862240Z
BDT/SEK,BDT,SEK,1,0.074744,0.080243,0.080243,0.074744,2026-08-03T10:10:34.862300Z,2026-08-03T10:10:34.862300Z
BHD/SEK,BHD,SEK,1,24.9652,25.6572,25.6572,24.9652,2026-08-03T10:10:34.869493Z,2026-08-03T10:10:34.869493Z
CAD/SEK,CAD,SEK,1,6.7308,6.8641,6.8641,6.7308,2026-08-03T10:10:34.869109Z,2026-08-03T10:10:34.869109Z
CHF/SEK,CHF,SEK,1,11.6864,11.918,11.918,11.6864,2026-08-03T10:10:34.861533Z,2026-08-03T10:10:34.861533Z
CNH/SEK,CNH,SEK,1,1.3941,1.4323,1.4323,1.3941,2026-08-03T10:10:34.874288Z,2026-08-03T10:10:34.874288Z
CNY/SEK,CNY,SEK,1,1.38446,1.44172,1.44172,1.38446,2026-08-03T10:10:34.862320Z,2026-08-03T10:10:34.862320Z
CZK/SEK,CZK,SEK,1,0.44976,0.45885,0.45885,0.44976,2026-08-03T10:10:34.859872Z,2026-08-03T10:10:34.859872Z
DKK/SEK,DKK,SEK,1,1.45651,1.4854,1.4854,1.45651,2026-08-03T10:10:34.865552Z,2026-08-03T10:10:34.865552Z
EGP/SEK,EGP,SEK,1,0.184,0.1958,0.1958,0.184,2026-08-03T10:10:34.860658Z,2026-08-03T10:10:34.860658Z
EUR/SEK,EUR,SEK,1,10.8859,11.1017,11.1017,10.8859,2026-08-03T10:01:46.677193Z,2026-08-03T10:01:46.677193Z
GBP/SEK,GBP,SEK,1,12.7117,12.9634,12.9634,12.7117,2026-08-03T10:10:34.863925Z,2026-08-03T10:10:34.863925Z
GIP/SEK,GIP,SEK,1,12.704412,12.970789,12.970789,12.704412,2026-08-03T10:10:34.875007Z,2026-08-03T10:10:34.875007Z
HKD/SEK,HKD,SEK,1,1.20045,1.2334,1.2334,1.20045,2026-08-03T10:10:34.858067Z,2026-08-03T10:10:34.858067Z
HUF/SEK,HUF,SEK,1,0.02986,0.030467,0.030467,0.02986,2026-08-03T10:10:34.859334Z,2026-08-03T10:10:34.859334Z
IDR/SEK,IDR,SEK,1,0.0005197,0.0005413,0.0005413,0.0005197,2026-08-03T10:10:34.874626Z,2026-08-03T10:10:34.874626Z
