pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9286,10.9336,10.9311,926,EUR/SEK Spot,10.9311,10.9286,10.9336
USD/SEK,USD,SEK,1,9.4368,9.4618,9.4493,150,USD/SEK Spot,9.4493,9.4368,9.4618
GBP/SEK,GBP,SEK,1,12.6419,12.6519,12.6469,72825,GBP/SEK Spot,12.6469,12.6419,12.6519
JPY/SEK,JPY,SEK,1,5.883,5.893,5.888,117083,JPY/SEK Spot,5.888,5.883,5.893
CHF/SEK,CHF,SEK,1,11.8303,11.8403,11.8353,72829,CHF/SEK Spot,11.8353,11.8303,11.8403
NOK/SEK,NOK,SEK,1,0.991,0.992,0.9915,72828,NOK/SEK Spot,0.9915,0.991,0.992
DKK/SEK,DKK,SEK,1,1.4595,1.4605,1.46,72826,DKK/SEK Spot,1.46,1.4595,1.4605
CAD/SEK,CAD,SEK,1,6.7383,6.7483,6.7433,51623,CAD/SEK Spot,6.7433,6.7383,6.7483
AUD/SEK,AUD,SEK,1,6.6466,6.6476,6.6471,117438,AUD/SEK Spot,6.6471,6.6466,6.6476
NZD/SEK,NZD,SEK,1,5.5014,5.5024,5.5019,117521,NZD/SEK Spot,5.5019,5.5014,5.5024
