pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0714,11.0738,11.0726,926,EUR/SEK Spot,11.0726,11.0714,11.0738
USD/SEK,USD,SEK,1,9.7038,9.7063,9.705,150,USD/SEK Spot,9.705,9.7038,9.7063
GBP/SEK,GBP,SEK,1,12.942,12.952,12.947,72825,GBP/SEK Spot,12.947,12.942,12.952
JPY/SEK,JPY,SEK,1,5.969,5.979,5.974,117083,JPY/SEK Spot,5.974,5.969,5.979
CHF/SEK,CHF,SEK,1,12.0109,12.0209,12.0159,72829,CHF/SEK Spot,12.0159,12.0109,12.0209
NOK/SEK,NOK,SEK,1,0.9918,0.9928,0.9923,72828,NOK/SEK Spot,0.9923,0.9918,0.9928
DKK/SEK,DKK,SEK,1,1.4808,1.4818,1.4813,72826,DKK/SEK Spot,1.4813,1.4808,1.4818
CAD/SEK,CAD,SEK,1,6.848,6.858,6.853,51623,CAD/SEK Spot,6.853,6.848,6.858
AUD/SEK,AUD,SEK,1,6.7148,6.7158,6.7153,117438,AUD/SEK Spot,6.7153,6.7148,6.7158
NZD/SEK,NZD,SEK,1,5.5264,5.5274,5.5269,117521,NZD/SEK Spot,5.5269,5.5264,5.5274
