country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.5799,6.6776,2026-06-15
Danmark,Dansk krona,DKK,1.4459,1.4673,2026-06-15
Euro,Euro,EUR,10.8068,10.9662,2026-06-15
Hong Kong,Hongkong dollar,HKD,1.1813,1.2115,2026-06-15
Indien,Indisk rupie,INR,0.0964,0.1015,2026-06-15
Japan,Japanskt yen,JPY,0.0581,0.059,2026-06-15
Kanada,Kanadensisk dollar,CAD,6.6586,6.7571,2026-06-15
Kina,Kinesisk yuan,CNY,1.3681,1.4057,2026-06-15
Mexiko,Mexikansk peso,MXN,0.5382,0.552,2026-06-15
Norge,Norsk krona,NOK,0.9768,0.9914,2026-06-15
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4359,5.517,2026-06-15
Polen,Polsk zloty,PLN,2.5453,2.5845,2026-06-15
Schweiz,Schweizisk franc,CHF,11.7361,11.9096,2026-06-15
Singapore,Singaporiansk dollar,SGD,7.2596,7.3674,2026-06-15
Storbritannien,Brittiskt pund,GBP,12.4949,12.6799,2026-06-15
Sydafrika,Sydafrikansk rand,ZAR,0.5719,0.5866,2026-06-15
Thailand,Thailänsk bath,THB,0.2845,0.2922,2026-06-15
Tjeckien,Tjeckisk krona,CZK,0.4478,0.4545,2026-06-15
Turkiet,Turkisk lira,TRY,0.1998,0.205,2026-06-15
Ungern,Ungersk forint,HUF,0.0307,0.0315,2026-06-15
USA,Amerikansk dollar,USD,9.3042,9.4417,2026-06-15
