country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6686,6.7675,2026-07-09
Danmark,Dansk krona,DKK,1.4699,1.4916,2026-07-09
Euro,Euro,EUR,10.988,11.1501,2026-07-09
Hong Kong,Hongkong dollar,HKD,1.2202,1.2512,2026-07-09
Indien,Indisk rupie,INR,0.0989,0.1041,2026-07-09
Japan,Japanskt yen,JPY,0.0592,0.0601,2026-07-09
Kanada,Kanadensisk dollar,CAD,6.7809,6.8814,2026-07-09
Kina,Kinesisk yuan,CNY,1.4059,1.4445,2026-07-09
Mexiko,Mexikansk peso,MXN,0.5448,0.5588,2026-07-09
Norge,Norsk krona,NOK,0.9852,1.0,2026-07-09
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5128,5.5954,2026-07-09
Polen,Polsk zloty,PLN,2.5499,2.588,2026-07-09
Schweiz,Schweizisk franc,CHF,11.9129,12.0892,2026-07-09
Singapore,Singaporiansk dollar,SGD,7.4347,7.5452,2026-07-09
Storbritannien,Brittiskt pund,GBP,12.8922,13.0835,2026-07-09
Sydafrika,Sydafrikansk rand,ZAR,0.5839,0.599,2026-07-09
Thailand,Thailänsk bath,THB,0.2859,0.2936,2026-07-09
Tjeckien,Tjeckisk krona,CZK,0.4529,0.4598,2026-07-09
Turkiet,Turkisk lira,TRY,0.2033,0.2087,2026-07-09
Ungern,Ungersk forint,HUF,0.0305,0.0313,2026-07-09
USA,Amerikansk dollar,USD,9.6121,9.7542,2026-07-09
