pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0348,11.0397,11.0373,926,EUR/SEK Spot,11.0373,11.0348,11.0397
USD/SEK,USD,SEK,1,9.6451,9.6517,9.6484,150,USD/SEK Spot,9.6484,9.6451,9.6517
GBP/SEK,GBP,SEK,1,12.978,12.988,12.983,72825,GBP/SEK Spot,12.983,12.978,12.988
JPY/SEK,JPY,SEK,1,5.937,5.947,5.942,117083,JPY/SEK Spot,5.942,5.937,5.947
CHF/SEK,CHF,SEK,1,11.9465,11.9565,11.9515,72829,CHF/SEK Spot,11.9515,11.9465,11.9565
NOK/SEK,NOK,SEK,1,0.9999,1.0009,1.0004,72828,NOK/SEK Spot,1.0004,0.9999,1.0009
DKK/SEK,DKK,SEK,1,1.476,1.477,1.4765,72826,DKK/SEK Spot,1.4765,1.476,1.477
CAD/SEK,CAD,SEK,1,6.878,6.888,6.883,51623,CAD/SEK Spot,6.883,6.878,6.888
AUD/SEK,AUD,SEK,1,6.7376,6.7386,6.7381,117438,AUD/SEK Spot,6.7381,6.7376,6.7386
NZD/SEK,NZD,SEK,1,5.6384,5.6394,5.6389,117521,NZD/SEK Spot,5.6389,5.6384,5.6394
