pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0639,11.0671,11.0655,926,EUR/SEK Spot,11.0655,11.0639,11.0671
USD/SEK,USD,SEK,1,9.7037,9.7066,9.7052,150,USD/SEK Spot,9.7052,9.7037,9.7066
GBP/SEK,GBP,SEK,1,12.8198,12.8298,12.8248,72825,GBP/SEK Spot,12.8248,12.8198,12.8298
JPY/SEK,JPY,SEK,1,5.998,6.008,6.003,117083,JPY/SEK Spot,6.003,5.998,6.008
CHF/SEK,CHF,SEK,1,11.995,12.005,12.0,72829,CHF/SEK Spot,12.0,11.995,12.005
NOK/SEK,NOK,SEK,1,0.9802,0.9812,0.9807,72828,NOK/SEK Spot,0.9807,0.9802,0.9812
DKK/SEK,DKK,SEK,1,1.4795,1.4805,1.48,72826,DKK/SEK Spot,1.48,1.4795,1.4805
CAD/SEK,CAD,SEK,1,6.835,6.845,6.84,51623,CAD/SEK Spot,6.84,6.835,6.845
AUD/SEK,AUD,SEK,1,6.6939,6.6949,6.6944,117438,AUD/SEK Spot,6.6944,6.6939,6.6949
NZD/SEK,NZD,SEK,1,5.483,5.484,5.4835,117521,NZD/SEK Spot,5.4835,5.483,5.484
