pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6265,6.7145,AUD,Australiensiska dollar,6.6265,6.7145,6.6705,11:59:59
BRL/SEK,BRL,SEK,1,1.7784,1.8794,BRL,Brasilianska real,1.7784,1.8794,1.8289,11:59:59
CAD/SEK,CAD,SEK,1,6.7382,6.8258,CAD,Kanadensiska dollar,6.7382,6.8258,6.7820,11:59:59
CHF/SEK,CHF,SEK,1,11.7854,11.9204,CHF,Schweiziska franc,11.7854,11.9204,11.8529,11:59:59
CNY/SEK,CNY,SEK,1,1.37900,1.40970,CNY,Kinesiska yuan,1.37900,1.40970,1.39435,11:59:59
CZK/SEK,CZK,SEK,1,0.44482,0.45410,CZK,Tjeckiska koruna,0.44482,0.45410,0.44946,11:59:59
DKK/SEK,DKK,SEK,1,1.44870,1.46520,DKK,Danska kronor,1.44870,1.46520,1.45695,11:59:59
EUR/SEK,EUR,SEK,1,10.82290,10.95600,EUR,Euro,10.82290,10.95600,10.88945,11:59:59
GBP/SEK,GBP,SEK,1,12.53330,12.67780,GBP,Pound sterling,12.53330,12.67780,12.60555,11:59:59
HKD/SEK,HKD,SEK,1,1.19490,1.21940,HKD,Hong Kong dollar,1.19490,1.21940,1.20715,11:59:59
HUF/SEK,HUF,SEK,1,0.030019,0.031041,HUF,Ungerska forint,0.030019,0.031041,0.030530,11:59:59
ILS/SEK,ILS,SEK,1,3.13570,3.29400,ILS,Israelska new shekel,3.13570,3.29400,3.21485,11:59:59
INR/SEK,INR,SEK,1,0.095508,0.102148,INR,Indiska rupees,0.095508,0.102148,0.098828,11:59:59
JPY/SEK,JPY,SEK,1,0.058601,0.059625,JPY,Japanska yen,0.058601,0.059625,0.059113,11:59:59
NOK/SEK,NOK,SEK,1,0.99260,1.00730,NOK,Norska kronor,0.99260,1.00730,0.99995,11:59:59
NZD/SEK,NZD,SEK,1,5.4518,5.5394,NZD,Nya Zeeländska dollar,5.4518,5.5394,5.4956,11:59:59
PLN/SEK,PLN,SEK,1,2.5341,2.5955,PLN,Polska zloty,2.5341,2.5955,2.5648,11:59:59
SGD/SEK,SGD,SEK,1,7.29530,7.37820,SGD,Singapore dollar,7.29530,7.37820,7.33675,11:59:59
THB/SEK,THB,SEK,1,0.28143,0.29461,THB,Thailändska baht,0.28143,0.29461,0.28802,11:59:59
TRY/SEK,TRY,SEK,1,0.187130,0.223220,TRY,Turkiska lira,0.187130,0.223220,0.205175,11:59:59
USD/SEK,USD,SEK,1,9.39240,9.52530,USD,Amerikanska dollar,9.39240,9.52530,9.45885,11:59:59
ZAR/SEK,ZAR,SEK,1,0.561850,0.582220,ZAR,Sydafrikanska rand,0.561850,0.582220,0.572035,11:59:59
