country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6342,6.7328,2026-06-04
Danmark,Dansk krona,DKK,1.4456,1.467,2026-06-04
Euro,Euro,EUR,10.805,10.9644,2026-06-04
Hong Kong,Hongkong dollar,HKD,1.1811,1.2113,2026-06-04
Indien,Indisk rupie,INR,0.0954,0.1004,2026-06-04
Japan,Japanskt yen,JPY,0.0582,0.0591,2026-06-04
Kanada,Kanadensisk dollar,CAD,6.686,6.7852,2026-06-04
Kina,Kinesisk yuan,CNY,1.3643,1.4016,2026-06-04
Mexiko,Mexikansk peso,MXN,0.5349,0.5488,2026-06-04
Norge,Norsk krona,NOK,0.9996,1.0145,2026-06-04
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4572,5.539,2026-06-04
Polen,Polsk zloty,PLN,2.5487,2.5879,2026-06-04
Schweiz,Schweizisk franc,CHF,11.7641,11.9384,2026-06-04
Singapore,Singaporiansk dollar,SGD,7.2459,7.3535,2026-06-04
Storbritannien,Brittiskt pund,GBP,12.4945,12.6802,2026-06-04
Sydafrika,Sydafrikansk rand,ZAR,0.5691,0.5837,2026-06-04
Thailand,Thailänsk bath,THB,0.283,0.2906,2026-06-04
Tjeckien,Tjeckisk krona,CZK,0.446,0.4527,2026-06-04
Turkiet,Turkisk lira,TRY,0.2007,0.2059,2026-06-04
Ungern,Ungersk forint,HUF,0.0303,0.031,2026-06-04
USA,Amerikansk dollar,USD,9.3036,9.4412,2026-06-04
