pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0672,11.0702,11.0687,926,EUR/SEK Spot,11.0687,11.0672,11.0702
USD/SEK,USD,SEK,1,9.7461,9.7484,9.7472,150,USD/SEK Spot,9.7472,9.7461,9.7484
GBP/SEK,GBP,SEK,1,12.8365,12.8465,12.8415,72825,GBP/SEK Spot,12.8415,12.8365,12.8465
JPY/SEK,JPY,SEK,1,6.018,6.028,6.023,117083,JPY/SEK Spot,6.023,6.018,6.028
CHF/SEK,CHF,SEK,1,11.9998,12.0098,12.0048,72829,CHF/SEK Spot,12.0048,11.9998,12.0098
NOK/SEK,NOK,SEK,1,0.9868,0.9878,0.9873,72828,NOK/SEK Spot,0.9873,0.9868,0.9878
DKK/SEK,DKK,SEK,1,1.4803,1.4813,1.4808,72826,DKK/SEK Spot,1.4808,1.4803,1.4813
CAD/SEK,CAD,SEK,1,6.841,6.851,6.846,51623,CAD/SEK Spot,6.846,6.841,6.851
AUD/SEK,AUD,SEK,1,6.7223,6.7233,6.7228,117438,AUD/SEK Spot,6.7228,6.7223,6.7233
NZD/SEK,NZD,SEK,1,5.5013,5.5023,5.5018,117521,NZD/SEK Spot,5.5018,5.5013,5.5023
