pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0862,11.0913,11.0887,926,EUR/SEK Spot,11.0887,11.0862,11.0913
USD/SEK,USD,SEK,1,9.7255,9.7546,9.7401,150,USD/SEK Spot,9.7401,9.7255,9.7546
GBP/SEK,GBP,SEK,1,12.8455,12.8555,12.8505,72825,GBP/SEK Spot,12.8505,12.8455,12.8555
JPY/SEK,JPY,SEK,1,6.015,6.025,6.02,117083,JPY/SEK Spot,6.02,6.015,6.025
CHF/SEK,CHF,SEK,1,12.018,12.028,12.023,72829,CHF/SEK Spot,12.023,12.018,12.028
NOK/SEK,NOK,SEK,1,0.9799,0.9809,0.9804,72828,NOK/SEK Spot,0.9804,0.9799,0.9809
DKK/SEK,DKK,SEK,1,1.4827,1.4837,1.4832,72826,DKK/SEK Spot,1.4832,1.4827,1.4837
CAD/SEK,CAD,SEK,1,6.8552,6.8652,6.8602,51623,CAD/SEK Spot,6.8602,6.8552,6.8652
AUD/SEK,AUD,SEK,1,6.7134,6.7144,6.7139,117438,AUD/SEK Spot,6.7139,6.7134,6.7144
NZD/SEK,NZD,SEK,1,5.4907,5.4917,5.4912,117521,NZD/SEK Spot,5.4912,5.4907,5.4917
