country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6833,6.7633,6.6833,6.7633,23/6
Danmark,DKK/SEK,DKK,SEK,1,1.46923,1.48523,1.46923,1.48523,23/6
Euro,EUR/SEK,EUR,SEK,1,10.97185,11.11185,10.97185,11.11185,23/6
Hongkong,HKD/SEK,HKD,SEK,1,1.2211,1.2473,1.2211,1.2473,23/6
Indien,INR/SEK,INR,SEK,1,0.099001,0.105202,0.099001,0.105202,23/6
Indonesien,IDR/SEK,IDR,SEK,1,0.000529,0.000562,0.000529,0.000562,23/6
Island,ISK/SEK,ISK,SEK,1,0.076511,0.076851,0.076511,0.076851,23/6
Japan,JPY/SEK,JPY,SEK,1,0.059476,0.060416,0.059476,0.060416,23/6
Kanada,CAD/SEK,CAD,SEK,1,6.7829,6.8689,6.7829,6.8689,23/6
Kina,CNY/SEK,CNY,SEK,1,1.4158,1.4359,1.4158,1.4359,23/6
Malaysia,MYR/SEK,MYR,SEK,1,2.320156,2.350156,2.320156,2.350156,23/6
Marocko,MAD/SEK,MAD,SEK,1,1.0172,1.0518,1.0172,1.0518,23/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5471,0.5612,0.5471,0.5612,23/6
Norge,NOK/SEK,NOK,SEK,1,0.985085,0.998085,0.985085,0.998085,23/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4616,5.5436,5.4616,5.5436,23/6
Polen,PLN/SEK,PLN,SEK,1,2.5591,2.5992,2.5591,2.5992,23/6
Ryssland,RUB/SEK,RUB,SEK,1,0.126635,0.131015,0.126635,0.131015,23/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5455,2.6097,2.5455,2.6097,23/6
Schweiz,CHF/SEK,CHF,SEK,1,11.9012,12.0132,11.9012,12.0132,23/6
Singapore,SGD/SEK,SGD,SEK,1,7.4352,7.5066,7.4352,7.5066,23/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.7268,12.8668,12.7268,12.8668,23/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5775,0.5956,0.5775,0.5956,23/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006185,0.006357,0.006185,0.006357,23/6
Thailand,THB/SEK,THB,SEK,1,0.2887,0.2946,0.2887,0.2946,23/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.452925,0.459525,0.452925,0.459525,23/6
Turkiet,TRY/SEK,TRY,SEK,1,0.1736,0.2425,0.1736,0.2425,23/6
Ungern,HUF/SEK,HUF,SEK,1,0.030787,0.031549,0.030787,0.031549,23/6
USA,USD/SEK,USD,SEK,1,9.6088,9.7438,9.6088,9.7438,23/6
