pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.64970,6.73800,AUD,Australiensiska dollar,6.64970,6.73800,6.69385,2026-07-03
BRL/SEK,BRL,SEK,1,1.8030,1.9038,BRL,Brasilianska real,1.8030,1.9038,1.8534,2026-07-03
CAD/SEK,CAD,SEK,1,6.7584,6.8466,CAD,Kanadensiska dollar,6.7584,6.8466,6.8025,2026-07-03
CHF/SEK,CHF,SEK,1,11.9444,12.0810,CHF,Schweiziska franc,11.9444,12.0810,12.0127,2026-07-03
CNY/SEK,CNY,SEK,1,1.4072,1.4380,CNY,Kinesiska yuan,1.4072,1.4380,1.4226,2026-07-03
CZK/SEK,CZK,SEK,1,0.451630,0.460940,CZK,Tjeckiska koruna,0.451630,0.460940,0.456285,2026-07-03
DKK/SEK,DKK,SEK,1,1.4688,1.4854,DKK,Danska kronor,1.4688,1.4854,1.4771,2026-07-03
EUR/SEK,EUR,SEK,1,10.9734,11.1070,EUR,Euro,10.9734,11.1070,11.0402,2026-07-03
GBP/SEK,GBP,SEK,1,12.8105,12.9563,GBP,Pound sterling,12.8105,12.9563,12.8834,2026-07-03
HKD/SEK,HKD,SEK,1,1.21820,1.24270,HKD,Hong Kong dollar,1.21820,1.24270,1.23045,2026-07-03
HUF/SEK,HUF,SEK,1,0.0307390,0.0317680,HUF,Ungerska forint,0.0307390,0.0317680,0.0312535,2026-07-03
ILS/SEK,ILS,SEK,1,3.14060,3.29910,ILS,Israelska new shekel,3.14060,3.29910,3.21985,2026-07-03
INR/SEK,INR,SEK,1,0.098000,0.104650,INR,Indiska rupees,0.098000,0.104650,0.101325,2026-07-03
JPY/SEK,JPY,SEK,1,0.0593720,0.0604050,JPY,Japanska yen,0.0593720,0.0604050,0.0598885,2026-07-03
NOK/SEK,NOK,SEK,1,0.97470,0.98940,NOK,Norska kronor,0.97470,0.98940,0.98205,2026-07-03
NZD/SEK,NZD,SEK,1,5.4684,5.5566,NZD,Nya Zeeländska dollar,5.4684,5.5566,5.5125,2026-07-03
PLN/SEK,PLN,SEK,1,2.54480,2.60650,PLN,Polska zloty,2.54480,2.60650,2.57565,2026-07-03
SGD/SEK,SGD,SEK,1,7.4337,7.5169,SGD,Singapore dollar,7.4337,7.5169,7.4753,2026-07-03
THB/SEK,THB,SEK,1,0.284620,0.297870,THB,Thailändska baht,0.284620,0.297870,0.291245,2026-07-03
TRY/SEK,TRY,SEK,1,0.18812,0.22422,TRY,Turkiska lira,0.18812,0.22422,0.20617,2026-07-03
USD/SEK,USD,SEK,1,9.58310,9.71640,USD,Amerikanska dollar,9.58310,9.71640,9.64975,2026-07-03
ZAR/SEK,ZAR,SEK,1,0.58454,0.60496,ZAR,Sydafrikanska rand,0.58454,0.60496,0.59475,2026-07-03
