pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.6103,2.682,2.682,2.6103,2026-06-29T12:05:17.423196Z,2026-06-29T12:05:17.423196Z
AUD/SEK,AUD,SEK,1,6.6404,6.7719,6.7719,6.6404,2026-06-29T12:05:17.410157Z,2026-06-29T12:05:17.410157Z
BDT/SEK,BDT,SEK,1,0.076538,0.081613,0.081613,0.076538,2026-06-29T12:05:17.411683Z,2026-06-29T12:05:17.411683Z
BHD/SEK,BHD,SEK,1,25.4296,26.1324,26.1324,25.4296,2026-06-29T12:05:17.423372Z,2026-06-29T12:05:17.423372Z
CAD/SEK,CAD,SEK,1,6.7757,6.91,6.91,6.7757,2026-06-29T12:05:17.423950Z,2026-06-29T12:05:17.423950Z
CHF/SEK,CHF,SEK,1,11.9054,12.1413,12.1413,11.9054,2026-06-29T12:05:17.410593Z,2026-06-29T12:05:17.410593Z
CNH/SEK,CNH,SEK,1,1.4105,1.4493,1.4493,1.4105,2026-06-29T12:05:17.439307Z,2026-06-29T12:05:17.439307Z
CNY/SEK,CNY,SEK,1,1.40155,1.45942,1.45942,1.40155,2026-06-29T12:05:17.424339Z,2026-06-29T12:05:17.424339Z
CZK/SEK,CZK,SEK,1,0.45243,0.46157,0.46157,0.45243,2026-06-29T12:05:17.409532Z,2026-06-29T12:05:17.409532Z
DKK/SEK,DKK,SEK,1,1.46867,1.4978,1.4978,1.46867,2026-06-29T12:05:17.422539Z,2026-06-29T12:05:17.422539Z
EGP/SEK,EGP,SEK,1,0.1911,0.2033,0.2033,0.1911,2026-06-29T12:05:17.411269Z,2026-06-29T12:05:17.411269Z
EUR/SEK,EUR,SEK,1,10.9776,11.1952,11.1952,10.9776,2026-06-29T12:05:17.444376Z,2026-06-29T12:05:17.444376Z
GBP/SEK,GBP,SEK,1,12.7336,12.9857,12.9857,12.7336,2026-06-29T12:05:17.422839Z,2026-06-29T12:05:17.422839Z
GIP/SEK,GIP,SEK,1,12.726049,12.992892,12.992892,12.726049,2026-06-29T12:05:17.435649Z,2026-06-29T12:05:17.435649Z
HKD/SEK,HKD,SEK,1,1.22253,1.25609,1.25609,1.22253,2026-06-29T12:05:17.411872Z,2026-06-29T12:05:17.411872Z
HUF/SEK,HUF,SEK,1,0.030971,0.031598,0.031598,0.030971,2026-06-29T12:05:17.423547Z,2026-06-29T12:05:17.423547Z
IDR/SEK,IDR,SEK,1,0.0005334,0.0005557,0.0005557,0.0005334,2026-06-29T12:05:17.434203Z,2026-06-29T12:05:17.434203Z
ILS/SEK,ILS,SEK,1,3.2187,3.3082,3.3082,3.2187,2026-06-29T12:05:17.409633Z,2026-06-29T12:05:17.409633Z
INR/SEK,INR,SEK,1,0.10074,0.10487,0.10487,0.10074,2026-06-29T12:05:17.423417Z,2026-06-29T12:05:17.423417Z
ISK/SEK,ISK,SEK,1,0.0754,0.0786,0.0786,0.0754,2026-06-29T12:05:17.409969Z,2026-06-29T12:05:17.409969Z
JPY/SEK,JPY,SEK,1,0.059465,0.060641,0.060641,0.059465,2026-06-29T12:05:17.425417Z,2026-06-29T12:05:17.425417Z
KES/SEK,KES,SEK,1,0.0735,0.0766,0.0766,0.0735,2026-06-29T12:05:17.422158Z,2026-06-29T12:05:17.422158Z
KRW/SEK,KRW,SEK,1,0.006183,0.006411,0.006411,0.006183,2026-06-29T12:05:17.432861Z,2026-06-29T12:05:17.432861Z
KWD/SEK,KWD,SEK,1,30.9326,31.8443,31.8443,30.9326,2026-06-29T12:05:17.435316Z,2026-06-29T12:05:17.435316Z
KZT/SEK,KZT,SEK,1,0.019739,0.020555,0.020555,0.019739,2026-06-29T12:05:17.435450Z,2026-06-29T12:05:17.435450Z
LKR/SEK,LKR,SEK,1,0.028029,0.02981,0.02981,0.028029,2026-06-29T12:05:17.412324Z,2026-06-29T12:05:17.412324Z
MAD/SEK,MAD,SEK,1,1.0159,1.058,1.058,1.0159,2026-06-29T12:05:17.434860Z,2026-06-29T12:05:17.434860Z
MXN/SEK,MXN,SEK,1,0.54862,0.56372,0.56372,0.54862,2026-06-29T12:05:17.436376Z,2026-06-29T12:05:17.436376Z
MYR/SEK,MYR,SEK,1,2.3614,2.414,2.414,2.3614,2026-06-29T12:05:17.420846Z,2026-06-29T12:05:17.420846Z
NOK/SEK,NOK,SEK,1,0.96912,0.98837,0.98837,0.96912,2026-06-29T12:05:17.412098Z,2026-06-29T12:05:17.412098Z
NZD/SEK,NZD,SEK,1,5.4406,5.5487,5.5487,5.4406,2026-06-29T12:05:17.435282Z,2026-06-29T12:05:17.435282Z
PEN/SEK,PEN,SEK,1,2.789665,2.905961,2.905961,2.789665,2026-06-29T12:05:17.410759Z,2026-06-29T12:05:17.410759Z
PHP/SEK,PHP,SEK,1,0.1556,0.1621,0.1621,0.1556,2026-06-29T12:05:17.411495Z,2026-06-29T12:05:17.411495Z
PKR/SEK,PKR,SEK,1,0.0339,0.036,0.036,0.0339,2026-06-29T12:05:17.432497Z,2026-06-29T12:05:17.432497Z
PLN/SEK,PLN,SEK,1,2.56015,2.61109,2.61109,2.56015,2026-06-29T12:05:17.422932Z,2026-06-29T12:05:17.422932Z
QAR/SEK,QAR,SEK,1,2.6117,2.7198,2.7198,2.6117,2026-06-29T12:05:17.423761Z,2026-06-29T12:05:17.423761Z
RON/SEK,RON,SEK,1,2.0939,2.136,2.136,2.0939,2026-06-29T12:05:17.432145Z,2026-06-29T12:05:17.432145Z
RSD/SEK,RSD,SEK,1,0.09246,0.096446,0.096446,0.09246,2026-06-29T12:05:17.411076Z,2026-06-29T12:05:17.411076Z
SAR/SEK,SAR,SEK,1,2.5528,2.6234,2.6234,2.5528,2026-06-29T12:05:17.434958Z,2026-06-29T12:05:17.434958Z
SGD/SEK,SGD,SEK,1,7.4406,7.5879,7.5879,7.4406,2026-06-29T12:05:17.434597Z,2026-06-29T12:05:17.434597Z
THB/SEK,THB,SEK,1,0.28838,0.29631,0.29631,0.28838,2026-06-29T12:05:17.436046Z,2026-06-29T12:05:17.436046Z
TND/SEK,TND,SEK,1,3.2189,3.3627,3.3627,3.2189,2026-06-29T12:05:17.427612Z,2026-06-29T12:05:17.427612Z
TRY/SEK,TRY,SEK,1,0.2041,0.2124,0.2124,0.2041,2026-06-29T12:05:17.436761Z,2026-06-29T12:05:17.436761Z
USD/SEK,USD,SEK,1,9.6245,9.8147,9.8147,9.6245,2026-06-29T12:05:17.412445Z,2026-06-29T12:05:17.412445Z
ZAR/SEK,ZAR,SEK,1,0.58593,0.59824,0.59824,0.58593,2026-06-29T12:05:17.410400Z,2026-06-29T12:05:17.410400Z
