pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9794,10.9817,10.9806,926,EUR/SEK Spot,10.9806,10.9794,10.9817
USD/SEK,USD,SEK,1,9.5122,9.5149,9.5135,150,USD/SEK Spot,9.5135,9.5122,9.5149
GBP/SEK,GBP,SEK,1,12.809,12.819,12.814,72825,GBP/SEK Spot,12.814,12.809,12.819
JPY/SEK,JPY,SEK,1,6.029,6.039,6.034,117083,JPY/SEK Spot,6.034,6.029,6.039
CHF/SEK,CHF,SEK,1,11.7506,11.7606,11.7556,72829,CHF/SEK Spot,11.7556,11.7506,11.7606
NOK/SEK,NOK,SEK,1,0.9983,0.9993,0.9988,72828,NOK/SEK Spot,0.9988,0.9983,0.9993
DKK/SEK,DKK,SEK,1,1.4683,1.4693,1.4688,72826,DKK/SEK Spot,1.4688,1.4683,1.4693
CAD/SEK,CAD,SEK,1,6.7604,6.7704,6.7654,51623,CAD/SEK Spot,6.7654,6.7604,6.7704
AUD/SEK,AUD,SEK,1,6.7008,6.7018,6.7013,117438,AUD/SEK Spot,6.7013,6.7008,6.7018
NZD/SEK,NZD,SEK,1,5.5806,5.5816,5.5811,117521,NZD/SEK Spot,5.5811,5.5806,5.5816
