currency,sell_rate,buy_rate,sell_timestamp,buy_timestamp
INR,0.09884,0.09494,2026-05-27T07:11:22.972765Z,2026-05-27T07:11:22.972765Z
ISK,0.077,0.0738,2026-05-27T07:11:22.968472Z,2026-05-27T07:11:22.968472Z
JPY,0.058802,0.057658,2026-05-27T07:11:22.974767Z,2026-05-27T07:11:22.974767Z
KES,0.0733,0.0701,2026-05-27T07:11:22.993591Z,2026-05-27T07:11:22.993591Z
KRW,0.006289,0.006063,2026-05-27T07:11:22.995622Z,2026-05-27T07:11:22.995622Z
KWD,30.4016,29.5443,2026-05-27T07:11:22.998269Z,2026-05-27T07:11:22.998269Z
KZT,0.01973,0.018936,2026-05-27T07:11:22.989526Z,2026-05-27T07:11:22.989526Z
LKR,0.029384,0.027641,2026-05-27T07:11:22.970338Z,2026-05-27T07:11:22.970338Z
MAD,1.031,0.9892,2026-05-27T07:11:22.989908Z,2026-05-27T07:11:22.989908Z
MXN,0.54343,0.52883,2026-05-27T07:11:22.988196Z,2026-05-27T07:11:22.988196Z
MYR,2.3657,2.3131,2026-05-27T07:11:22.975671Z,2026-05-27T07:11:22.975671Z
NOK,1.00874,0.98891,2026-05-27T07:11:22.989561Z,2026-05-27T07:11:22.989561Z
NZD,5.5027,5.3953,2026-05-27T07:11:22.981348Z,2026-05-27T07:11:22.981348Z
PEN,2.764723,2.654029,2026-05-27T07:11:22.968972Z,2026-05-27T07:11:22.968972Z
PHP,0.1538,0.1476,2026-05-27T07:11:22.968474Z,2026-05-27T07:11:22.968474Z
PKR,0.0343,0.0322,2026-05-27T07:11:22.988819Z,2026-05-27T07:11:22.988819Z
PLN,2.57579,2.52545,2026-05-27T07:11:22.993816Z,2026-05-27T07:11:22.993816Z
QAR,2.5966,2.4928,2026-05-27T07:11:22.979304Z,2026-05-27T07:11:22.979304Z
RON,2.083,2.0416,2026-05-27T07:11:22.981730Z,2026-05-27T07:11:22.981730Z
RSD,0.093967,0.090089,2026-05-27T07:11:22.998983Z,2026-05-27T07:11:22.998983Z
SAR,2.506,2.4376,2026-05-27T07:11:22.974359Z,2026-05-27T07:11:22.974359Z
SGD,7.337,7.1942,2026-05-27T07:11:22.998220Z,2026-05-27T07:11:22.998220Z
THB,0.28867,0.28093,2026-05-27T07:11:22.984280Z,2026-05-27T07:11:22.984280Z
TND,3.2673,3.127,2026-05-27T07:11:22.977950Z,2026-05-27T07:11:22.977950Z
TRY,0.2062,0.1981,2026-05-27T07:11:22.985535Z,2026-05-27T07:11:22.985535Z
USD,9.3703,9.1881,2026-05-27T07:11:23.000977Z,2026-05-27T07:11:23.000977Z
ZAR,0.57295,0.56113,2026-05-27T07:11:22.963324Z,2026-05-27T07:11:22.963324Z
AED,2.5549,2.4858,2026-05-27T11:13:57.469373Z,2026-05-27T11:13:57.469373Z
AUD,6.6713,6.5401,2026-05-27T11:13:57.476272Z,2026-05-27T11:13:57.476272Z
BDT,0.077757,0.072905,2026-05-27T11:13:57.477363Z,2026-05-27T11:13:57.477363Z
BHD,24.8952,24.2141,2026-05-27T11:13:57.464781Z,2026-05-27T11:13:57.464781Z
CAD,6.76,6.6272,2026-05-27T11:13:57.470189Z,2026-05-27T11:13:57.470189Z
CHF,11.8932,11.6614,2026-05-27T11:12:36.008601Z,2026-05-27T11:12:36.008601Z
CNH,1.3839,1.3466,2026-05-27T11:13:57.481012Z,2026-05-27T11:13:57.481012Z
CNY,1.39305,1.33774,2026-05-27T11:13:57.471714Z,2026-05-27T11:13:57.471714Z
CZK,0.44834,0.43936,2026-05-27T11:13:57.465642Z,2026-05-27T11:13:57.465642Z
DKK,1.45629,1.42791,2026-05-27T11:13:57.474040Z,2026-05-27T11:13:57.474040Z
EGP,0.1828,0.1718,2026-05-27T11:13:57.480324Z,2026-05-27T11:13:57.480324Z
EUR,10.8951,10.6831,2026-05-27T12:06:36.442909Z,2026-05-27T12:06:36.442909Z
GBP,12.567,12.3201,2026-05-27T11:13:57.470548Z,2026-05-27T11:13:57.470548Z
GIP,12.574526,12.313331,2026-05-27T11:13:57.516029Z,2026-05-27T11:13:57.516029Z
HKD,1.19814,1.16585,2026-05-27T11:13:57.464750Z,2026-05-27T11:13:57.464750Z
HUF,0.030684,0.030066,2026-05-27T11:13:57.480670Z,2026-05-27T11:13:57.480670Z
IDR,0.0005311,0.0005097,2026-05-27T11:13:57.476550Z,2026-05-27T11:13:57.476550Z
ILS,3.3039,3.2137,2026-05-27T11:13:57.464441Z,2026-05-27T11:13:57.464441Z
INR,0.0987,0.09478,2026-05-27T11:13:57.464431Z,2026-05-27T11:13:57.464431Z
ISK,0.0768,0.0737,2026-05-27T11:13:57.464825Z,2026-05-27T11:13:57.464825Z
JPY,0.058667,0.057514,2026-05-27T11:13:57.464869Z,2026-05-27T11:13:57.464869Z
KES,0.073,0.07,2026-05-27T11:13:57.485052Z,2026-05-27T11:13:57.485052Z
KRW,0.006291,0.006066,2026-05-27T11:13:57.465143Z,2026-05-27T11:13:57.465143Z
KWD,30.3306,29.4756,2026-05-27T11:13:57.465937Z,2026-05-27T11:13:57.465937Z
KZT,0.019682,0.018888,2026-05-27T11:13:57.480368Z,2026-05-27T11:13:57.480368Z
LKR,0.02921,0.027499,2026-05-27T11:13:57.518033Z,2026-05-27T11:13:57.518033Z
MAD,1.0302,0.987,2026-05-27T11:13:57.470954Z,2026-05-27T11:13:57.470954Z
MXN,0.54233,0.52768,2026-05-27T11:13:57.480303Z,2026-05-27T11:13:57.480303Z
MYR,2.3608,2.3079,2026-05-27T11:13:57.465141Z,2026-05-27T11:13:57.465141Z
NOK,1.00859,0.98864,2026-05-27T11:13:57.472853Z,2026-05-27T11:13:57.472853Z
NZD,5.4998,5.3915,2026-05-27T11:13:57.470930Z,2026-05-27T11:13:57.470930Z
PEN,2.759025,2.648057,2026-05-27T11:13:57.477672Z,2026-05-27T11:13:57.477672Z
PHP,0.1535,0.1473,2026-05-27T11:13:57.465191Z,2026-05-27T11:13:57.465191Z
PKR,0.0343,0.0322,2026-05-27T11:13:57.471297Z,2026-05-27T11:13:57.471297Z
PLN,2.56979,2.51956,2026-05-27T11:13:57.481345Z,2026-05-27T11:13:57.481345Z
QAR,2.5912,2.4872,2026-05-27T11:13:57.513774Z,2026-05-27T11:13:57.513774Z
RON,2.0778,2.0364,2026-05-27T11:13:57.465217Z,2026-05-27T11:13:57.465217Z
RSD,0.093689,0.089829,2026-05-27T11:13:57.471795Z,2026-05-27T11:13:57.471795Z
SAR,2.5008,2.4323,2026-05-27T11:13:57.477060Z,2026-05-27T11:13:57.477060Z
SGD,7.3204,7.1765,2026-05-27T11:13:57.469689Z,2026-05-27T11:13:57.469689Z
THB,0.28794,0.28016,2026-05-27T11:13:57.483680Z,2026-05-27T11:13:57.483680Z
TND,3.2773,3.1238,2026-05-27T11:13:57.472471Z,2026-05-27T11:13:57.472471Z
TRY,0.2057,0.1976,2026-05-27T11:13:57.471002Z,2026-05-27T11:13:57.471002Z
USD,9.351,9.1675,2026-05-27T11:13:57.476291Z,2026-05-27T11:13:57.476291Z
ZAR,0.57206,0.56015,2026-05-27T11:13:57.462782Z,2026-05-27T11:13:57.462782Z
AED,2.5549,2.4858,2026-05-27T11:13:57.469373Z,2026-05-27T11:13:57.469373Z
AUD,6.6713,6.5401,2026-05-27T11:13:57.476272Z,2026-05-27T11:13:57.476272Z
BDT,0.077757,0.072905,2026-05-27T11:13:57.477363Z,2026-05-27T11:13:57.477363Z
