pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0412,11.044,11.0426,926,EUR/SEK Spot,11.0426,11.0412,11.044
USD/SEK,USD,SEK,1,9.6644,9.6669,9.6656,150,USD/SEK Spot,9.6656,9.6644,9.6669
GBP/SEK,GBP,SEK,1,12.9748,12.9848,12.9798,72825,GBP/SEK Spot,12.9798,12.9748,12.9848
JPY/SEK,JPY,SEK,1,5.937,5.947,5.942,117083,JPY/SEK Spot,5.942,5.937,5.947
CHF/SEK,CHF,SEK,1,11.9288,11.9388,11.9338,72829,CHF/SEK Spot,11.9338,11.9288,11.9388
NOK/SEK,NOK,SEK,1,1.0041,1.0051,1.0046,72828,NOK/SEK Spot,1.0046,1.0041,1.0051
DKK/SEK,DKK,SEK,1,1.4766,1.4776,1.4771,72826,DKK/SEK Spot,1.4771,1.4766,1.4776
CAD/SEK,CAD,SEK,1,6.8715,6.8815,6.8765,51623,CAD/SEK Spot,6.8765,6.8715,6.8815
AUD/SEK,AUD,SEK,1,6.789,6.79,6.7895,117438,AUD/SEK Spot,6.7895,6.789,6.79
NZD/SEK,NZD,SEK,1,5.6653,5.6663,5.6658,117521,NZD/SEK Spot,5.6658,5.6653,5.6663
