country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.7195,6.7995,6.7195,6.7995,15/7
Danmark,DKK/SEK,DKK,SEK,1,1.47053,1.48653,1.47053,1.48653,15/7
Euro,EUR/SEK,EUR,SEK,1,10.98275,11.12275,10.98275,11.12275,15/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2213,1.2475,1.2213,1.2475,15/7
Indien,INR/SEK,INR,SEK,1,0.097372,0.103573,0.097372,0.103573,15/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000522,0.000555,0.000522,0.000555,15/7
Island,ISK/SEK,ISK,SEK,1,0.076907,0.077247,0.076907,0.077247,15/7
Japan,JPY/SEK,JPY,SEK,1,0.059132,0.060072,0.059132,0.060072,15/7
Kanada,CAD/SEK,CAD,SEK,1,6.843,6.9291,6.843,6.9291,15/7
Kina,CNY/SEK,CNY,SEK,1,1.4187,1.4387,1.4187,1.4387,15/7
Malaysia,MYR/SEK,MYR,SEK,1,2.35841,2.388411,2.35841,2.388411,15/7
Marocko,MAD/SEK,MAD,SEK,1,1.0188,1.0535,1.0188,1.0535,15/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5483,0.5624,0.5483,0.5624,15/7
Norge,NOK/SEK,NOK,SEK,1,0.99078,1.00378,0.99078,1.00378,15/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5885,5.6705,5.5885,5.6705,15/7
Polen,PLN/SEK,PLN,SEK,1,2.5349,2.5749,2.5349,2.5749,15/7
Ryssland,RUB/SEK,RUB,SEK,1,0.12066,0.12504,0.12066,0.12504,15/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5429,2.6072,2.5429,2.6072,15/7
Schweiz,CHF/SEK,CHF,SEK,1,11.8903,12.0023,11.8903,12.0023,15/7
Singapore,SGD/SEK,SGD,SEK,1,7.4562,7.5277,7.4562,7.5277,15/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.8914,13.0315,12.8914,13.0315,15/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5813,0.5994,0.5813,0.5994,15/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006418,0.00659,0.006418,0.00659,15/7
Thailand,THB/SEK,THB,SEK,1,0.285,0.2908,0.285,0.2908,15/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.45274,0.45934,0.45274,0.45934,15/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1712,0.24,0.1712,0.24,15/7
Ungern,HUF/SEK,HUF,SEK,1,0.030372,0.031133,0.030372,0.031133,15/7
USA,USD/SEK,USD,SEK,1,9.6083,9.7433,9.6083,9.7433,15/7
