pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.7178,6.8062,AUD,Australiensiska dollar,6.7178,6.8062,6.7620,11:59:59
BRL/SEK,BRL,SEK,1,1.8397,1.9405,BRL,Brasilianska real,1.8397,1.9405,1.8901,11:59:59
CAD/SEK,CAD,SEK,1,6.8423,6.9303,CAD,Kanadensiska dollar,6.8423,6.9303,6.8863,11:59:59
CHF/SEK,CHF,SEK,1,11.88880,12.02550,CHF,Schweiziska franc,11.88880,12.02550,11.95715,11:59:59
CNY/SEK,CNY,SEK,1,1.41250,1.44320,CNY,Kinesiska yuan,1.41250,1.44320,1.42785,11:59:59
CZK/SEK,CZK,SEK,1,0.45178,0.46108,CZK,Tjeckiska koruna,0.45178,0.46108,0.45643,11:59:59
DKK/SEK,DKK,SEK,1,1.4690,1.4856,DKK,Danska kronor,1.4690,1.4856,1.4773,11:59:59
EUR/SEK,EUR,SEK,1,10.9770,11.1106,EUR,Euro,10.9770,11.1106,11.0438,11:59:59
GBP/SEK,GBP,SEK,1,12.9352,13.0810,GBP,Pound sterling,12.9352,13.0810,13.0081,11:59:59
HKD/SEK,HKD,SEK,1,1.2200,1.2446,HKD,Hong Kong dollar,1.2200,1.2446,1.2323,11:59:59
HUF/SEK,HUF,SEK,1,0.0300180,0.0310470,HUF,Ungerska forint,0.0300180,0.0310470,0.0305325,11:59:59
ILS/SEK,ILS,SEK,1,3.0898,3.2482,ILS,Israelska new shekel,3.0898,3.2482,3.1690,11:59:59
INR/SEK,INR,SEK,1,0.096850,0.103500,INR,Indiska rupees,0.096850,0.103500,0.100175,11:59:59
JPY/SEK,JPY,SEK,1,0.0589760,0.0600030,JPY,Japanska yen,0.0589760,0.0600030,0.0594895,11:59:59
NOK/SEK,NOK,SEK,1,0.99330,1.00800,NOK,Norska kronor,0.99330,1.00800,1.00065,11:59:59
NZD/SEK,NZD,SEK,1,5.60770,5.69580,NZD,Nya Zeeländska dollar,5.60770,5.69580,5.65175,11:59:59
PLN/SEK,PLN,SEK,1,2.51510,2.57680,PLN,Polska zloty,2.51510,2.57680,2.54595,11:59:59
SGD/SEK,SGD,SEK,1,7.44330,7.52660,SGD,Singapore dollar,7.44330,7.52660,7.48495,11:59:59
THB/SEK,THB,SEK,1,0.28066,0.29386,THB,Thailändska baht,0.28066,0.29386,0.28726,11:59:59
TRY/SEK,TRY,SEK,1,0.186730,0.222840,TRY,Turkiska lira,0.186730,0.222840,0.204785,11:59:59
USD/SEK,USD,SEK,1,9.5954,9.7288,USD,Amerikanska dollar,9.5954,9.7288,9.6621,11:59:59
ZAR/SEK,ZAR,SEK,1,0.576360,0.596750,ZAR,Sydafrikanska rand,0.576360,0.596750,0.586555,11:59:59
