pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0844,11.0867,11.0855,926,EUR/SEK Spot,11.0855,11.0844,11.0867
USD/SEK,USD,SEK,1,9.736,9.7386,9.7373,150,USD/SEK Spot,9.7373,9.736,9.7386
GBP/SEK,GBP,SEK,1,12.9637,12.9737,12.9687,72825,GBP/SEK Spot,12.9687,12.9637,12.9737
JPY/SEK,JPY,SEK,1,5.942,5.952,5.947,117083,JPY/SEK Spot,5.947,5.942,5.952
CHF/SEK,CHF,SEK,1,11.9177,11.9277,11.9227,72829,CHF/SEK Spot,11.9227,11.9177,11.9277
NOK/SEK,NOK,SEK,1,1.0129,1.0139,1.0134,72828,NOK/SEK Spot,1.0134,1.0129,1.0139
DKK/SEK,DKK,SEK,1,1.4825,1.4835,1.483,72826,DKK/SEK Spot,1.483,1.4825,1.4835
CAD/SEK,CAD,SEK,1,6.9089,6.9189,6.9139,51623,CAD/SEK Spot,6.9139,6.9089,6.9189
AUD/SEK,AUD,SEK,1,6.8037,6.8047,6.8042,117438,AUD/SEK Spot,6.8042,6.8037,6.8047
NZD/SEK,NZD,SEK,1,5.6302,5.6312,5.6307,117521,NZD/SEK Spot,5.6307,5.6302,5.6312
