pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0722,11.0747,11.0734,926,EUR/SEK Spot,11.0734,11.0722,11.0747
USD/SEK,USD,SEK,1,9.7041,9.706,9.7051,150,USD/SEK Spot,9.7051,9.7041,9.706
GBP/SEK,GBP,SEK,1,12.943,12.953,12.948,72825,GBP/SEK Spot,12.948,12.943,12.953
JPY/SEK,JPY,SEK,1,6.015,6.025,6.02,117083,JPY/SEK Spot,6.02,6.015,6.025
CHF/SEK,CHF,SEK,1,12.0483,12.0583,12.0533,72829,CHF/SEK Spot,12.0533,12.0483,12.0583
NOK/SEK,NOK,SEK,1,0.9816,0.9826,0.9821,72828,NOK/SEK Spot,0.9821,0.9816,0.9826
DKK/SEK,DKK,SEK,1,1.4809,1.4819,1.4814,72826,DKK/SEK Spot,1.4814,1.4809,1.4819
CAD/SEK,CAD,SEK,1,6.8316,6.8416,6.8366,51623,CAD/SEK Spot,6.8366,6.8316,6.8416
AUD/SEK,AUD,SEK,1,6.7003,6.7013,6.7008,117438,AUD/SEK Spot,6.7008,6.7003,6.7013
NZD/SEK,NZD,SEK,1,5.5186,5.5196,5.5191,117521,NZD/SEK Spot,5.5191,5.5186,5.5196
