country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6769,6.7778,2026-07-14
Danmark,Dansk krona,DKK,1.4675,1.4896,2026-07-14
Euro,Euro,EUR,10.9697,11.1345,2026-07-14
Hong Kong,Hongkong dollar,HKD,1.2219,1.2536,2026-07-14
Indien,Indisk rupie,INR,0.0983,0.1035,2026-07-14
Japan,Japanskt yen,JPY,0.0593,0.0602,2026-07-14
Kanada,Kanadensisk dollar,CAD,6.8136,6.9166,2026-07-14
Kina,Kinesisk yuan,CNY,1.4117,1.4506,2026-07-14
Mexiko,Mexikansk peso,MXN,0.5476,0.5618,2026-07-14
Norge,Norsk krona,NOK,0.9862,1.0014,2026-07-14
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5783,5.6632,2026-07-14
Polen,Polsk zloty,PLN,2.5315,2.5706,2026-07-14
Schweiz,Schweizisk franc,CHF,11.8324,12.0108,2026-07-14
Singapore,Singaporiansk dollar,SGD,7.4464,7.5589,2026-07-14
Storbritannien,Brittiskt pund,GBP,12.8675,13.0619,2026-07-14
Sydafrika,Sydafrikansk rand,ZAR,0.5822,0.5975,2026-07-14
Thailand,Thailänsk bath,THB,0.2858,0.2936,2026-07-14
Tjeckien,Tjeckisk krona,CZK,0.4514,0.4584,2026-07-14
Turkiet,Turkisk lira,TRY,0.2034,0.2089,2026-07-14
Ungern,Ungersk forint,HUF,0.0303,0.0312,2026-07-14
USA,Amerikansk dollar,USD,9.6294,9.7744,2026-07-14
