country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.7468,6.8468,2026-07-22
Danmark,Dansk krona,DKK,1.4718,1.4935,2026-07-22
Euro,Euro,EUR,11.002,11.1643,2026-07-22
Hong Kong,Hongkong dollar,HKD,1.2233,1.2546,2026-07-22
Indien,Indisk rupie,INR,0.098,0.1032,2026-07-22
Japan,Japanskt yen,JPY,0.0592,0.06,2026-07-22
Kanada,Kanadensisk dollar,CAD,6.8412,6.9427,2026-07-22
Kina,Kinesisk yuan,CNY,1.4143,1.4533,2026-07-22
Mexiko,Mexikansk peso,MXN,0.5506,0.5649,2026-07-22
Norge,Norsk krona,NOK,1.0021,1.017,2026-07-22
Nya Zeeland,Nyzeeländsk dollar,NZD,5.6092,5.6931,2026-07-22
Polen,Polsk zloty,PLN,2.5407,2.579,2026-07-22
Schweiz,Schweizisk franc,CHF,11.8773,12.0531,2026-07-22
Singapore,Singaporiansk dollar,SGD,7.47,7.581,2026-07-22
Storbritannien,Brittiskt pund,GBP,12.8942,13.0855,2026-07-22
Sydafrika,Sydafrikansk rand,ZAR,0.5827,0.5978,2026-07-22
Thailand,Thailänsk bath,THB,0.2837,0.2913,2026-07-22
Tjeckien,Tjeckisk krona,CZK,0.455,0.4619,2026-07-22
Turkiet,Turkisk lira,TRY,0.2029,0.2083,2026-07-22
Ungern,Ungersk forint,HUF,0.0301,0.0308,2026-07-22
USA,Amerikansk dollar,USD,9.6422,9.7848,2026-07-22
