updated,country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,change,settlement_price,unit,buy_rate_per_unit,sell_rate_per_unit
05.06.2026 09:01,Norge,NOK/SEK,NOK,SEK,100,0.9958,1.0098,99.58,100.98,-0.47,100.28,100.0,0.9958,1.0098
05.06.2026 09:01,USA,USD/SEK,USD,SEK,1,9.3041,9.4101,9.3041,9.4101,-0.0231,9.3571,1.0,9.3041,9.4101
05.06.2026 09:01,Europeiska unionen,EUR/SEK,EUR,SEK,1,10.8132,10.9382,10.8132,10.9382,-0.0164,10.8757,1.0,10.8132,10.9382
05.06.2026 09:01,Danmark,DKK/SEK,DKK,SEK,100,1.4479,1.4628999999999999,144.79,146.29,-0.16,145.54,100.0,1.4479,1.4628999999999999
05.06.2026 09:01,Storbritannien,GBP/SEK,GBP,SEK,1,12.5003,12.6463,12.5003,12.6463,-0.0259,12.5733,1.0,12.5003,12.6463
05.06.2026 09:01,Schweiz,CHF/SEK,CHF,SEK,100,11.8134,11.9254,1181.34,1192.54,1.7,1186.94,100.0,11.8134,11.9254
05.06.2026 09:01,Japan,JPY/SEK,JPY,SEK,100,0.058018,0.059017999999999994,5.8018,5.9018,-0.0145,5.8518,100.0,0.058018,0.059017999999999994
05.06.2026 09:01,Arabemirater,AED/SEK,AED,SEK,1,2.5268,2.5708,2.5268,2.5708,-0.0062,2.5488,1.0,2.5268,2.5708
05.06.2026 09:01,Australien,AUD/SEK,AUD,SEK,1,6.6256,6.7106,6.6256,6.7106,-0.0255,6.6681,1.0,6.6256,6.7106
05.06.2026 09:01,Bahrain,BHD/SEK,BHD,SEK,1,24.643,25.043,24.643,25.043,-0.0647,24.843,1.0,24.643,25.043
05.06.2026 09:01,Botswana,BWP/SEK,BWP,SEK,1,0.6849,0.7149,0.6849,0.7149,-0.036,0.6999,1.0,0.6849,0.7149
05.06.2026 09:01,Filippinerna,PHP/SEK,PHP,SEK,100,0.1497,0.1551,14.97,15.51,-0.02,15.24,100.0,0.1497,0.1551
05.06.2026 09:01,Hong Kong,HKD/SEK,HKD,SEK,1,1.1827,1.2067,1.1827,1.2067,-0.0023,1.1947,1.0,1.1827,1.2067
05.06.2026 09:01,Indien,INR/SEK,INR,SEK,1,0.0959,0.1003,0.0959,0.1003,0.0001,0.0981,1.0,0.0959,0.1003
05.06.2026 09:01,Indonesien,IDR/SEK,IDR,SEK,100,0.0005070000000000001,0.000531,0.0507,0.0531,-0.0002,0.0519,100.0,0.0005070000000000001,0.000531
05.06.2026 09:01,Island,ISK/SEK,ISK,SEK,100,0.074742,0.07734200000000001,7.4742,7.7342,0.0212,7.6042,100.0,0.074742,0.07734200000000001
05.06.2026 09:01,Israel,ILS/SEK,ILS,SEK,1,3.1893,3.2493,3.1893,3.2493,-0.0477,3.2193,1.0,3.1893,3.2493
05.06.2026 09:01,Kanada,CAD/SEK,CAD,SEK,1,6.6886,6.7786,6.6886,6.7786,-0.0119,6.7336,1.0,6.6886,6.7786
05.06.2026 09:01,Kenya,KES/SEK,KES,SEK,100,0.071322,0.074322,7.1322,7.4322,-0.018,7.2822,100.0,0.071322,0.074322
05.06.2026 09:01,Kina,CNH/SEK,CNH,SEK,100,1.3661,1.3961000000000001,136.61,139.61,-0.35,138.11,100.0,1.3661,1.3961000000000001
05.06.2026 09:01,Kina,CNY/SEK,CNY,SEK,100,1.367,1.3969999999999998,136.7,139.7,-0.35,138.2,100.0,1.367,1.3969999999999998
05.06.2026 09:01,Kuwait,KWD/SEK,KWD,SEK,1,30.3341,30.8341,30.3341,30.8341,-0.0755,30.5841,1.0,30.3341,30.8341
05.06.2026 09:01,Marocko,MAD/SEK,MAD,SEK,100,0.9984999999999999,1.0425,99.85,104.25,-0.24,102.05,100.0,0.9984999999999999,1.0425
05.06.2026 09:01,Mexiko,MXN/SEK,MXN,SEK,100,0.5353,0.5493,53.53,54.93,-0.06,54.23,100.0,0.5353,0.5493
05.06.2026 09:01,Nya Zeeland,NZD/SEK,NZD,SEK,1,5.451,5.533,5.451,5.533,-0.0147,5.492,1.0,5.451,5.533
05.06.2026 09:01,Oman,OMR/SEK,OMR,SEK,1,24.14,24.54,24.14,24.54,-0.06,24.34,1.0,24.14,24.54
05.06.2026 09:01,Pakistan,PKR/SEK,PKR,SEK,1,0.0329,0.0345,0.0329,0.0345,-0.0001,0.0337,1.0,0.0329,0.0345
05.06.2026 09:01,Polen,PLN/SEK,PLN,SEK,100,2.5465,2.5915,254.65,259.15,-0.06,256.9,100.0,2.5465,2.5915
05.06.2026 09:01,Qatar,QAR/SEK,QAR,SEK,1,2.5488,2.5928,2.5488,2.5928,-0.0048,2.5708,1.0,2.5488,2.5928
05.06.2026 09:01,Rum‰nien,RON/SEK,RON,SEK,100,2.0453,2.0972999999999997,204.53,209.73,-0.37,207.13,100.0,2.0453,2.0972999999999997
05.06.2026 09:01,Saudiarabien,SAR/SEK,SAR,SEK,1,2.4728,2.5128,2.4728,2.5128,-0.0065,2.4928,1.0,2.4728,2.5128
05.06.2026 09:01,Singapore,SGD/SEK,SGD,SEK,1,7.2451,7.3291,7.2451,7.3291,-0.0214,7.2871,1.0,7.2451,7.3291
05.06.2026 09:01,Sri Lanka,LKR/SEK,LKR,SEK,100,0.027200000000000002,0.0288,2.72,2.88,0.0,2.8,100.0,0.027200000000000002,0.0288
05.06.2026 09:01,Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5615,0.5875,0.5615,0.5875,-0.0003,0.5745,1.0,0.5615,0.5875
