country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6127,6.6927,6.6127,6.6927,9/6
Danmark,DKK/SEK,DKK,SEK,1,1.44876,1.46476,1.44876,1.46476,9/6
Euro,EUR/SEK,EUR,SEK,1,10.8181,10.9581,10.8181,10.9581,9/6
Hongkong,HKD/SEK,HKD,SEK,1,1.1907,1.217,1.1907,1.217,9/6
Indien,INR/SEK,INR,SEK,1,0.095733,0.101933,0.095733,0.101933,9/6
Indonesien,IDR/SEK,IDR,SEK,1,0.00051,0.000543,0.00051,0.000543,9/6
Island,ISK/SEK,ISK,SEK,1,0.075759,0.076099,0.075759,0.076099,9/6
Japan,JPY/SEK,JPY,SEK,1,0.058421,0.059362,0.058421,0.059362,9/6
Kanada,CAD/SEK,CAD,SEK,1,6.7242,6.8102,6.7242,6.8102,9/6
Kina,CNY/SEK,CNY,SEK,1,1.3831,1.4032,1.3831,1.4032,9/6
Kroatien,HRK/SEK,HRK,SEK,1,1.435105,1.455105,1.435105,1.455105,11/12
Malaysia,MYR/SEK,MYR,SEK,1,2.305967,2.335968,2.305967,2.335968,9/6
Marocko,MAD/SEK,MAD,SEK,1,1.0006,1.0352,1.0006,1.0352,9/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5349,0.549,0.5349,0.549,9/6
Norge,NOK/SEK,NOK,SEK,1,0.989975,1.002975,0.989975,1.002975,9/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4578,5.5399,5.4578,5.5399,9/6
Polen,PLN/SEK,PLN,SEK,1,2.5497,2.5898,2.5497,2.5898,9/6
Ryssland,RUB/SEK,RUB,SEK,1,0.12836,0.13274,0.12836,0.13274,9/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.4806,2.5448,2.4806,2.5448,9/6
Schweiz,CHF/SEK,CHF,SEK,1,11.78055,11.89255,11.78055,11.89255,9/6
Singapore,SGD/SEK,SGD,SEK,1,7.2972,7.3687,7.2972,7.3687,9/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.5472,12.6872,12.5472,12.6872,9/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5644,0.5824,0.5644,0.5824,9/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006093,0.006265,0.006093,0.006265,9/6
Thailand,THB/SEK,THB,SEK,1,0.2841,0.29,0.2841,0.29,9/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.44663,0.45323,0.44663,0.45323,9/6
Turkiet,TRY/SEK,TRY,SEK,1,0.17,0.2388,0.17,0.2388,9/6
Ungern,HUF/SEK,HUF,SEK,1,0.03026,0.031021,0.03026,0.031021,9/6
USA,USD/SEK,USD,SEK,1,9.3666,9.5017,9.3666,9.5017,9/6
