pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.7859,10.7887,10.7873,926,EUR/SEK Spot,10.7873,10.7859,10.7887
USD/SEK,USD,SEK,1,9.2558,9.2583,9.257,150,USD/SEK Spot,9.257,9.2558,9.2583
GBP/SEK,GBP,SEK,1,12.4361,12.4461,12.4411,72825,GBP/SEK Spot,12.4411,12.4361,12.4461
JPY/SEK,JPY,SEK,1,5.81,5.82,5.815,117083,JPY/SEK Spot,5.815,5.81,5.82
CHF/SEK,CHF,SEK,1,11.7982,11.8082,11.8032,72829,CHF/SEK Spot,11.8032,11.7982,11.8082
NOK/SEK,NOK,SEK,1,0.9997,1.0007,1.0002,72828,NOK/SEK Spot,1.0002,0.9997,1.0007
DKK/SEK,DKK,SEK,1,1.4431,1.4441,1.4436,72826,DKK/SEK Spot,1.4436,1.4431,1.4441
CAD/SEK,CAD,SEK,1,6.7013,6.7113,6.7063,51623,CAD/SEK Spot,6.7063,6.7013,6.7113
AUD/SEK,AUD,SEK,1,6.6272,6.6282,6.6277,117438,AUD/SEK Spot,6.6277,6.6272,6.6282
NZD/SEK,NZD,SEK,1,5.4872,5.4882,5.4877,117521,NZD/SEK Spot,5.4877,5.4872,5.4882
