pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.893,10.8965,10.8948,926,EUR/SEK Spot,10.8948,10.893,10.8965
USD/SEK,USD,SEK,1,9.4186,9.4213,9.42,150,USD/SEK Spot,9.42,9.4186,9.4213
GBP/SEK,GBP,SEK,1,12.6146,12.6246,12.6196,72825,GBP/SEK Spot,12.6196,12.6146,12.6246
JPY/SEK,JPY,SEK,1,5.877,5.887,5.882,117083,JPY/SEK Spot,5.882,5.877,5.887
CHF/SEK,CHF,SEK,1,11.8279,11.8379,11.8329,72829,CHF/SEK Spot,11.8329,11.8279,11.8379
NOK/SEK,NOK,SEK,1,0.9957,0.9967,0.9962,72828,NOK/SEK Spot,0.9962,0.9957,0.9967
DKK/SEK,DKK,SEK,1,1.4572,1.4582,1.4577,72826,DKK/SEK Spot,1.4577,1.4572,1.4582
CAD/SEK,CAD,SEK,1,6.7561,6.7661,6.7611,51623,CAD/SEK Spot,6.7611,6.7561,6.7661
AUD/SEK,AUD,SEK,1,6.6483,6.6493,6.6488,117438,AUD/SEK Spot,6.6488,6.6483,6.6493
NZD/SEK,NZD,SEK,1,5.4968,5.4978,5.4973,117521,NZD/SEK Spot,5.4973,5.4968,5.4978
