pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.7567,6.8451,AUD,Australiensiska dollar,6.7567,6.8451,6.8009,2026-07-24
BRL/SEK,BRL,SEK,1,1.8633,1.9641,BRL,Brasilianska real,1.8633,1.9641,1.9137,2026-07-24
CAD/SEK,CAD,SEK,1,6.8640,6.9522,CAD,Kanadensiska dollar,6.8640,6.9522,6.9081,2026-07-24
CHF/SEK,CHF,SEK,1,11.8458,11.9824,CHF,Schweiziska franc,11.8458,11.9824,11.9141,2026-07-24
CNY/SEK,CNY,SEK,1,1.42100,1.45170,CNY,Kinesiska yuan,1.42100,1.45170,1.43635,2026-07-24
CZK/SEK,CZK,SEK,1,0.45389,0.46319,CZK,Tjeckiska koruna,0.45389,0.46319,0.45854,2026-07-24
DKK/SEK,DKK,SEK,1,1.4736,1.4902,DKK,Danska kronor,1.4736,1.4902,1.4819,2026-07-24
EUR/SEK,EUR,SEK,1,11.0111,11.1447,EUR,Euro,11.0111,11.1447,11.0779,2026-07-24
GBP/SEK,GBP,SEK,1,12.88230,13.02800,GBP,Pound sterling,12.88230,13.02800,12.95515,2026-07-24
HKD/SEK,HKD,SEK,1,1.22810,1.25260,HKD,Hong Kong dollar,1.22810,1.25260,1.24035,2026-07-24
HUF/SEK,HUF,SEK,1,0.0300430,0.0310720,HUF,Ungerska forint,0.0300430,0.0310720,0.0305575,2026-07-24
ILS/SEK,ILS,SEK,1,3.1054,3.2638,ILS,Israelska new shekel,3.1054,3.2638,3.1846,2026-07-24
INR/SEK,INR,SEK,1,0.097420,0.104070,INR,Indiska rupees,0.097420,0.104070,0.100745,2026-07-24
JPY/SEK,JPY,SEK,1,0.058909,0.059935,JPY,Japanska yen,0.058909,0.059935,0.059422,2026-07-24
NOK/SEK,NOK,SEK,1,1.0064,1.0212,NOK,Norska kronor,1.0064,1.0212,1.0138,2026-07-24
NZD/SEK,NZD,SEK,1,5.5848,5.6730,NZD,Nya Zeeländska dollar,5.5848,5.6730,5.6289,2026-07-24
PLN/SEK,PLN,SEK,1,2.53080,2.59250,PLN,Polska zloty,2.53080,2.59250,2.56165,2026-07-24
SGD/SEK,SGD,SEK,1,7.49340,7.57670,SGD,Singapore dollar,7.49340,7.57670,7.53505,2026-07-24
THB/SEK,THB,SEK,1,0.28231,0.29551,THB,Thailändska baht,0.28231,0.29551,0.28891,2026-07-24
TRY/SEK,TRY,SEK,1,0.187390,0.223500,TRY,Turkiska lira,0.187390,0.223500,0.205445,2026-07-24
USD/SEK,USD,SEK,1,9.6601,9.7935,USD,Amerikanska dollar,9.6601,9.7935,9.7268,2026-07-24
ZAR/SEK,ZAR,SEK,1,0.565080,0.585510,ZAR,Sydafrikanska rand,0.565080,0.585510,0.575295,2026-07-24
