country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6142,6.7124,2026-06-02
Danmark,Dansk krona,DKK,1.4355,1.4568,2026-06-02
Euro,Euro,EUR,10.7289,10.8873,2026-06-02
Hong Kong,Hongkong dollar,HKD,1.1688,1.1986,2026-06-02
Indien,Indisk rupie,INR,0.0949,0.0999,2026-06-02
Japan,Japanskt yen,JPY,0.0577,0.0585,2026-06-02
Kanada,Kanadensisk dollar,CAD,6.6547,6.7534,2026-06-02
Kina,Kinesisk yuan,CNY,1.3535,1.3904,2026-06-02
Mexiko,Mexikansk peso,MXN,0.5291,0.5428,2026-06-02
Norge,Norsk krona,NOK,0.9932,1.0081,2026-06-02
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4665,5.5482,2026-06-02
Polen,Polsk zloty,PLN,2.5352,2.5741,2026-06-02
Schweiz,Schweizisk franc,CHF,11.7333,11.9071,2026-06-02
Singapore,Singaporiansk dollar,SGD,7.2079,7.3148,2026-06-02
Storbritannien,Brittiskt pund,GBP,12.4076,12.5916,2026-06-02
Sydafrika,Sydafrikansk rand,ZAR,0.5654,0.5801,2026-06-02
Thailand,Thailänsk bath,THB,0.2813,0.2889,2026-06-02
Tjeckien,Tjeckisk krona,CZK,0.442,0.4486,2026-06-02
Turkiet,Turkisk lira,TRY,0.1992,0.2044,2026-06-02
Ungern,Ungersk forint,HUF,0.0301,0.0309,2026-06-02
USA,Amerikansk dollar,USD,9.2096,9.3459,2026-06-02
