pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5598,2.6301,2.6301,2.5598,2026-08-05T08:44:21.843603Z,2026-08-05T08:44:21.843603Z
AUD/SEK,AUD,SEK,1,6.6474,6.7791,6.7791,6.6474,2026-08-05T08:44:21.857131Z,2026-08-05T08:44:21.857131Z
BDT/SEK,BDT,SEK,1,0.074547,0.079603,0.079603,0.074547,2026-08-05T08:44:21.857459Z,2026-08-05T08:44:21.857459Z
BHD/SEK,BHD,SEK,1,24.9281,25.6194,25.6194,24.9281,2026-08-05T08:44:21.859335Z,2026-08-05T08:44:21.859335Z
CAD/SEK,CAD,SEK,1,6.7065,6.8393,6.8393,6.7065,2026-08-05T08:44:21.856336Z,2026-08-05T08:44:21.856336Z
CHF/SEK,CHF,SEK,1,11.6544,11.8854,11.8854,11.6544,2026-08-05T08:44:21.859616Z,2026-08-05T08:44:21.859616Z
CNH/SEK,CNH,SEK,1,1.3931,1.4313,1.4313,1.3931,2026-08-05T08:44:21.882384Z,2026-08-05T08:44:21.882384Z
CNY/SEK,CNY,SEK,1,1.38331,1.44051,1.44051,1.38331,2026-08-05T08:44:21.863629Z,2026-08-05T08:44:21.863629Z
CZK/SEK,CZK,SEK,1,0.44981,0.45889,0.45889,0.44981,2026-08-05T08:44:21.856219Z,2026-08-05T08:44:21.856219Z
DKK/SEK,DKK,SEK,1,1.45615,1.48502,1.48502,1.45615,2026-08-05T08:44:21.855542Z,2026-08-05T08:44:21.855542Z
EGP/SEK,EGP,SEK,1,0.1855,0.1974,0.1974,0.1855,2026-08-05T08:44:21.862088Z,2026-08-05T08:44:21.862088Z
EUR/SEK,EUR,SEK,1,10.8841,11.0999,11.0999,10.8841,2026-08-05T10:03:02.283064Z,2026-08-05T10:03:02.283064Z
GBP/SEK,GBP,SEK,1,12.7003,12.9517,12.9517,12.7003,2026-08-05T08:44:21.857697Z,2026-08-05T08:44:21.857697Z
GIP/SEK,GIP,SEK,1,12.693422,12.95858,12.95858,12.693422,2026-08-05T08:44:21.900562Z,2026-08-05T08:44:21.900562Z
HKD/SEK,HKD,SEK,1,1.19869,1.23159,1.23159,1.19869,2026-08-05T08:44:21.856843Z,2026-08-05T08:44:21.856843Z
HUF/SEK,HUF,SEK,1,0.030073,0.030681,0.030681,0.030073,2026-08-05T08:44:21.862899Z,2026-08-05T08:44:21.862899Z
IDR/SEK,IDR,SEK,1,0.0005208,0.0005424,0.0005424,0.0005208,2026-08-05T08:44:21.885169Z,2026-08-05T08:44:21.885169Z
ILS/SEK,ILS,SEK,1,3.132,3.2194,3.2194,3.132,2026-08-05T08:44:21.853997Z,2026-08-05T08:44:21.853997Z
INR/SEK,INR,SEK,1,0.0981,0.10212,0.10212,0.0981,2026-08-05T08:44:21.856869Z,2026-08-05T08:44:21.856869Z
ISK/SEK,ISK,SEK,1,0.0759,0.0792,0.0792,0.0759,2026-08-05T08:44:21.855474Z,2026-08-05T08:44:21.855474Z
JPY/SEK,JPY,SEK,1,0.059788,0.060971,0.060971,0.059788,2026-08-05T08:44:21.858478Z,2026-08-05T08:44:21.858478Z
KES/SEK,KES,SEK,1,0.0721,0.0752,0.0752,0.0721,2026-08-05T08:44:21.861314Z,2026-08-05T08:44:21.861314Z
KRW/SEK,KRW,SEK,1,0.00656,0.006802,0.006802,0.00656,2026-08-05T08:44:21.872432Z,2026-08-05T08:44:21.872432Z
KWD/SEK,KWD,SEK,1,30.3579,31.2459,31.2459,30.3579,2026-08-05T08:44:21.867010Z,2026-08-05T08:44:21.867010Z
KZT/SEK,KZT,SEK,1,0.019853,0.020682,0.020682,0.019853,2026-08-05T08:44:21.876180Z,2026-08-05T08:44:21.876180Z
LKR/SEK,LKR,SEK,1,0.027555,0.029271,0.029271,0.027555,2026-08-05T08:44:21.862425Z,2026-08-05T08:44:21.862425Z
MAD/SEK,MAD,SEK,1,1.0031,1.0447,1.0447,1.0031,2026-08-05T08:44:21.884371Z,2026-08-05T08:44:21.884371Z
MXN/SEK,MXN,SEK,1,0.5451,0.5601,0.5601,0.5451,2026-08-05T08:44:21.886976Z,2026-08-05T08:44:21.886976Z
MYR/SEK,MYR,SEK,1,2.3029,2.353,2.353,2.3029,2026-08-05T08:44:21.871449Z,2026-08-05T08:44:21.871449Z
NOK/SEK,NOK,SEK,1,0.99069,1.01033,1.01033,0.99069,2026-08-05T08:44:21.872736Z,2026-08-05T08:44:21.872736Z
NZD/SEK,NZD,SEK,1,5.5329,5.6428,5.6428,5.5329,2026-08-05T08:44:21.876196Z,2026-08-05T08:44:21.876196Z
PEN/SEK,PEN,SEK,1,2.753469,2.868637,2.868637,2.753469,2026-08-05T08:44:21.886321Z,2026-08-05T08:44:21.886321Z
PHP/SEK,PHP,SEK,1,0.1537,0.1601,0.1601,0.1537,2026-08-05T08:44:21.855875Z,2026-08-05T08:44:21.855875Z
PKR/SEK,PKR,SEK,1,0.0332,0.0354,0.0354,0.0332,2026-08-05T08:44:21.886668Z,2026-08-05T08:44:21.886668Z
PLN/SEK,PLN,SEK,1,2.52913,2.57944,2.57944,2.52913,2026-08-05T08:44:21.874750Z,2026-08-05T08:44:21.874750Z
QAR/SEK,QAR,SEK,1,2.5616,2.6667,2.6667,2.5616,2026-08-05T08:44:21.894358Z,2026-08-05T08:44:21.894358Z
RON/SEK,RON,SEK,1,2.0737,2.1153,2.1153,2.0737,2026-08-05T08:44:21.870679Z,2026-08-05T08:44:21.870679Z
RSD/SEK,RSD,SEK,1,0.091696,0.095637,0.095637,0.091696,2026-08-05T08:44:21.887406Z,2026-08-05T08:44:21.887406Z
SAR/SEK,SAR,SEK,1,2.5028,2.5721,2.5721,2.5028,2026-08-05T08:44:21.847876Z,2026-08-05T08:44:21.847876Z
SGD/SEK,SGD,SEK,1,7.3598,7.5054,7.5054,7.3598,2026-08-05T08:44:21.862748Z,2026-08-05T08:44:21.862748Z
THB/SEK,THB,SEK,1,0.28309,0.29088,0.29088,0.28309,2026-08-05T08:44:21.881572Z,2026-08-05T08:44:21.881572Z
TND/SEK,TND,SEK,1,3.1771,3.3236,3.3236,3.1771,2026-08-05T08:44:21.861952Z,2026-08-05T08:44:21.861952Z
TRY/SEK,TRY,SEK,1,0.1962,0.2042,0.2042,0.1962,2026-08-05T08:44:21.872408Z,2026-08-05T08:44:21.872408Z
USD/SEK,USD,SEK,1,9.4378,9.6244,9.6244,9.4378,2026-08-05T08:44:21.885896Z,2026-08-05T08:44:21.885896Z
ZAR/SEK,ZAR,SEK,1,0.57518,0.58726,0.58726,0.57518,2026-08-05T08:44:21.834679Z,2026-08-05T08:44:21.834679Z
