pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0055,11.0081,11.0068,926,EUR/SEK Spot,11.0068,11.0055,11.0081
USD/SEK,USD,SEK,1,9.5638,9.5661,9.5649,150,USD/SEK Spot,9.5649,9.5638,9.5661
GBP/SEK,GBP,SEK,1,12.8508,12.8608,12.8558,72825,GBP/SEK Spot,12.8558,12.8508,12.8608
JPY/SEK,JPY,SEK,1,6.051,6.061,6.056,117083,JPY/SEK Spot,6.056,6.051,6.061
CHF/SEK,CHF,SEK,1,11.8012,11.8112,11.8062,72829,CHF/SEK Spot,11.8062,11.8012,11.8112
NOK/SEK,NOK,SEK,1,1.005,1.006,1.0055,72828,NOK/SEK Spot,1.0055,1.005,1.006
DKK/SEK,DKK,SEK,1,1.4719,1.4729,1.4724,72826,DKK/SEK Spot,1.4724,1.4719,1.4729
CAD/SEK,CAD,SEK,1,6.8083,6.8183,6.8133,51623,CAD/SEK Spot,6.8133,6.8083,6.8183
AUD/SEK,AUD,SEK,1,6.7188,6.7198,6.7193,117438,AUD/SEK Spot,6.7193,6.7188,6.7198
NZD/SEK,NZD,SEK,1,5.616,5.617,5.6165,117521,NZD/SEK Spot,5.6165,5.616,5.617
