country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6284,6.7628,2026-07-03
Danmark,Dansk krona,DKK,1.4629,1.4925,2026-07-03
Euro,Euro,EUR,10.9348,11.1556,2026-07-03
Hong Kong,Hongkong dollar,HKD,1.2117,1.2493,2026-07-03
Indien,Indisk rupie,INR,0.0984,0.1042,2026-07-03
Japan,Japanskt yen,JPY,0.0593,0.0605,2026-07-03
Kanada,Kanadensisk dollar,CAD,6.744,6.8808,2026-07-03
Kina,Kinesisk yuan,CNY,1.4001,1.446,2026-07-03
Mexiko,Mexikansk peso,MXN,0.5449,0.562,2026-07-03
Norge,Norsk krona,NOK,0.9707,0.9957,2026-07-03
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4571,5.5685,2026-07-03
Polen,Polsk zloty,PLN,2.5508,2.6031,2026-07-03
Schweiz,Schweizisk franc,CHF,11.9051,12.146,2026-07-03
Singapore,Singaporiansk dollar,SGD,7.3978,7.5479,2026-07-03
Storbritannien,Brittiskt pund,GBP,12.7677,13.0264,2026-07-03
Sydafrika,Sydafrikansk rand,ZAR,0.5862,0.6046,2026-07-03
Thailand,Thailänsk bath,THB,0.2864,0.2957,2026-07-03
Tjeckien,Tjeckisk krona,CZK,0.4519,0.4613,2026-07-03
Turkiet,Turkisk lira,TRY,0.2028,0.2106,2026-07-03
Ungern,Ungersk forint,HUF,0.0307,0.0317,2026-07-03
USA,Amerikansk dollar,USD,9.5536,9.7467,2026-07-03
